,year,stars,topic
2777,2020,14,cell-free-fetal-dna
2778,2021,14,cell-free-fetal-dna
2779,2022,14,cell-free-fetal-dna
2780,2023,14,cell-free-fetal-dna
2781,2024,14,cell-free-fetal-dna
2782,2025,14,cell-free-fetal-dna
2783,2013,0,cell-type
2784,2016,0,cell-type
2785,2017,0,cell-type
2786,2018,0,cell-type
2787,2019,0,cell-type
2788,2020,0,cell-type
2789,2021,0,cell-type
2790,2022,0,cell-type
2791,2023,68,cell-type
2792,2024,68,cell-type
2793,2025,68,cell-type
2794,2013,0,cell-type-annotation
2795,2016,0,cell-type-annotation
2796,2017,0,cell-type-annotation
2797,2018,0,cell-type-annotation
2798,2019,0,cell-type-annotation
2799,2020,0,cell-type-annotation
2800,2021,0,cell-type-annotation
2801,2022,0,cell-type-annotation
2802,2023,0,cell-type-annotation
2803,2024,0,cell-type-annotation
2804,2025,569,cell-type-annotation
2805,2013,0,cell-type-classification
2806,2016,0,cell-type-classification
2807,2017,0,cell-type-classification
2808,2018,0,cell-type-classification
2809,2019,0,cell-type-classification
2810,2020,0,cell-type-classification
2811,2021,0,cell-type-classification
2812,2022,0,cell-type-classification
2813,2023,68,cell-type-classification
2814,2024,68,cell-type-classification
2815,2025,68,cell-type-classification
2816,2013,0,centrality
2817,2016,0,centrality
2818,2017,0,centrality
2819,2018,0,centrality
2820,2019,0,centrality
2821,2020,0,centrality
2822,2021,0,centrality
2823,2022,26,centrality
2824,2023,26,centrality
2825,2024,26,centrality
2826,2025,26,centrality
2827,2013,0,cfdna
2828,2016,0,cfdna
2829,2017,0,cfdna
2830,2018,59,cfdna
2831,2019,59,cfdna
2832,2020,59,cfdna
2833,2021,59,cfdna
2834,2022,59,cfdna
2835,2023,59,cfdna
2836,2024,59,cfdna
2837,2025,59,cfdna
2838,2013,0,chain-alignment
2839,2016,0,chain-alignment
2840,2017,0,chain-alignment
2841,2018,0,chain-alignment
2842,2019,0,chain-alignment
2843,2020,0,chain-alignment
2844,2021,69,chain-alignment
2845,2022,69,chain-alignment
2846,2023,69,chain-alignment
2847,2024,69,chain-alignment
2848,2025,69,chain-alignment
2849,2013,0,chainer
2850,2016,0,chainer
2851,2017,16,chainer
2852,2018,16,chainer
2853,2019,16,chainer
2854,2020,16,chainer
2855,2021,16,chainer
2856,2022,16,chainer
2857,2023,16,chainer
2858,2024,16,chainer
2859,2025,16,chainer
2860,2013,0,changepoint-detection
2861,2016,0,changepoint-detection
2862,2017,0,changepoint-detection
2863,2018,0,changepoint-detection
2864,2019,0,changepoint-detection
2865,2020,0,changepoint-detection
2866,2021,0,changepoint-detection
2867,2022,0,changepoint-detection
2868,2023,61,changepoint-detection
2869,2024,61,changepoint-detection
2870,2025,61,changepoint-detection
2871,2013,0,characterization
2872,2016,0,characterization
2873,2017,0,characterization
2874,2018,0,characterization
2875,2019,0,characterization
2876,2020,0,characterization
2877,2021,0,characterization
2878,2022,99,characterization
2879,2023,99,characterization
2880,2024,99,characterization
2881,2025,99,characterization
2882,2013,0,chart
2883,2016,0,chart
2884,2017,0,chart
2885,2018,33,chart
2886,2019,33,chart
2887,2020,33,chart
2888,2021,33,chart
2889,2022,33,chart
2890,2023,33,chart
2891,2024,33,chart
2892,2025,33,chart
2893,2013,0,chart-component
2894,2016,0,chart-component
2895,2017,0,chart-component
2896,2018,33,chart-component
2897,2019,33,chart-component
2898,2020,33,chart-component
2899,2021,33,chart-component
2900,2022,33,chart-component
2901,2023,33,chart-component
2902,2024,33,chart-component
2903,2025,33,chart-component
2904,2013,0,charting
2905,2016,0,charting
2906,2017,0,charting
2907,2018,0,charting
2908,2019,0,charting
2909,2020,0,charting
2910,2021,0,charting
2911,2022,0,charting
2912,2023,0,charting
2913,2024,0,charting
2914,2025,512,charting
2915,2013,0,charting-library
2916,2016,0,charting-library
2917,2017,0,charting-library
2918,2018,33,charting-library
2919,2019,33,charting-library
2920,2020,33,charting-library
2921,2021,33,charting-library
2922,2022,33,charting-library
2923,2023,33,charting-library
2924,2024,33,charting-library
2925,2025,1113,charting-library
2926,2013,0,cheatsheet
2927,2016,0,cheatsheet
2928,2017,0,cheatsheet
2929,2018,0,cheatsheet
2930,2019,0,cheatsheet
2931,2020,0,cheatsheet
2932,2021,0,cheatsheet
2933,2022,0,cheatsheet
2934,2023,0,cheatsheet
2935,2024,190,cheatsheet
2936,2025,190,cheatsheet
2937,2013,0,cheminformatics
2938,2016,0,cheminformatics
2939,2017,10,cheminformatics
2940,2018,10,cheminformatics
2941,2019,27,cheminformatics
2942,2020,47,cheminformatics
2943,2021,89,cheminformatics
2944,2022,1359,cheminformatics
2945,2023,2219,cheminformatics
2946,2024,3449,cheminformatics
2947,2025,5190,cheminformatics
2948,2013,0,chemistry
2949,2016,0,chemistry
2950,2017,0,chemistry
2951,2018,0,chemistry
2952,2019,0,chemistry
2953,2020,20,chemistry
2954,2021,20,chemistry
2955,2022,51,chemistry
2956,2023,126,chemistry
2957,2024,246,chemistry
2958,2025,1987,chemistry
2959,2013,0,chemoinformatics
2960,2016,0,chemoinformatics
2961,2017,0,chemoinformatics
2962,2018,11,chemoinformatics
2963,2019,11,chemoinformatics
2964,2020,11,chemoinformatics
2965,2021,11,chemoinformatics
2966,2022,11,chemoinformatics
2967,2023,11,chemoinformatics
2968,2024,284,chemoinformatics
2969,2025,3033,chemoinformatics
2970,2013,0,chemometrics
2971,2016,0,chemometrics
2972,2017,0,chemometrics
2973,2018,0,chemometrics
2974,2019,0,chemometrics
2975,2020,31,chemometrics
2976,2021,31,chemometrics
2977,2022,31,chemometrics
2978,2023,31,chemometrics
2979,2024,31,chemometrics
2980,2025,31,chemometrics
2981,2013,0,chia-pet
2982,2016,0,chia-pet
2983,2017,0,chia-pet
2984,2018,0,chia-pet
2985,2019,0,chia-pet
2986,2020,0,chia-pet
2987,2021,0,chia-pet
2988,2022,114,chia-pet
2989,2023,114,chia-pet
2990,2024,114,chia-pet
2991,2025,114,chia-pet
2992,2013,0,chimera
2993,2016,0,chimera
2994,2017,0,chimera
2995,2018,0,chimera
2996,2019,0,chimera
2997,2020,0,chimera
2998,2021,0,chimera
2999,2022,0,chimera
3000,2023,0,chimera
3001,2024,81,chimera
3002,2025,812,chimera
3003,2013,0,chip-seq
3004,2016,0,chip-seq
3005,2017,0,chip-seq
3006,2018,31,chip-seq
3007,2019,41,chip-seq
3008,2020,87,chip-seq
3009,2021,120,chip-seq
3010,2022,161,chip-seq
3011,2023,161,chip-seq
3012,2024,161,chip-seq
3013,2025,908,chip-seq
3014,2013,0,chip-seq-callers
3015,2016,0,chip-seq-callers
3016,2017,0,chip-seq-callers
3017,2018,31,chip-seq-callers
3018,2019,31,chip-seq-callers
3019,2020,31,chip-seq-callers
3020,2021,31,chip-seq-callers
3021,2022,31,chip-seq-callers
3022,2023,31,chip-seq-callers
3023,2024,31,chip-seq-callers
3024,2025,31,chip-seq-callers
3025,2013,0,chord-diagram
3026,2016,0,chord-diagram
3027,2017,0,chord-diagram
3028,2018,0,chord-diagram
3029,2019,0,chord-diagram
3030,2020,0,chord-diagram
3031,2021,0,chord-diagram
3032,2022,0,chord-diagram
3033,2023,0,chord-diagram
3034,2024,0,chord-diagram
3035,2025,1015,chord-diagram
3036,2013,0,chromatin
3037,2016,0,chromatin
3038,2017,0,chromatin
3039,2018,0,chromatin
3040,2019,0,chromatin
3041,2020,0,chromatin
3042,2021,0,chromatin
3043,2022,45,chromatin
3044,2023,45,chromatin
3045,2024,118,chromatin
3046,2025,118,chromatin
3047,2013,0,chromatin-interaction
3048,2016,0,chromatin-interaction
3049,2017,0,chromatin-interaction
3050,2018,0,chromatin-interaction
3051,2019,0,chromatin-interaction
3052,2020,0,chromatin-interaction
3053,2021,0,chromatin-interaction
3054,2022,154,chromatin-interaction
3055,2023,154,chromatin-interaction
3056,2024,154,chromatin-interaction
3057,2025,154,chromatin-interaction
3058,2013,0,chromatin-loops
3059,2016,0,chromatin-loops
3060,2017,0,chromatin-loops
3061,2018,0,chromatin-loops
3062,2019,0,chromatin-loops
3063,2020,0,chromatin-loops
3064,2021,0,chromatin-loops
3065,2022,114,chromatin-loops
3066,2023,114,chromatin-loops
3067,2024,114,chromatin-loops
3068,2025,114,chromatin-loops
3069,2013,0,chromatin-stripes
3070,2016,0,chromatin-stripes
3071,2017,0,chromatin-stripes
3072,2018,0,chromatin-stripes
3073,2019,0,chromatin-stripes
3074,2020,0,chromatin-stripes
3075,2021,0,chromatin-stripes
3076,2022,114,chromatin-stripes
3077,2023,114,chromatin-stripes
3078,2024,114,chromatin-stripes
3079,2025,114,chromatin-stripes
3080,2013,0,cinc-challenge
3081,2016,0,cinc-challenge
3082,2017,0,cinc-challenge
3083,2018,0,cinc-challenge
3084,2019,0,cinc-challenge
3085,2020,0,cinc-challenge
3086,2021,0,cinc-challenge
3087,2022,0,cinc-challenge
3088,2023,0,cinc-challenge
3089,2024,273,cinc-challenge
3090,2025,273,cinc-challenge
3091,2013,0,circadian
3092,2016,0,circadian
3093,2017,0,circadian
3094,2018,0,circadian
3095,2019,0,circadian
3096,2020,15,circadian
3097,2021,15,circadian
3098,2022,15,circadian
3099,2023,15,circadian
3100,2024,15,circadian
3101,2025,15,circadian
3102,2013,0,circadian-rhythm
3103,2016,0,circadian-rhythm
3104,2017,0,circadian-rhythm
3105,2018,0,circadian-rhythm
3106,2019,0,circadian-rhythm
3107,2020,15,circadian-rhythm
3108,2021,15,circadian-rhythm
3109,2022,15,circadian-rhythm
3110,2023,15,circadian-rhythm
3111,2024,15,circadian-rhythm
3112,2025,15,circadian-rhythm
3113,2013,0,circadian-rhythmicity
3114,2016,0,circadian-rhythmicity
3115,2017,0,circadian-rhythmicity
3116,2018,0,circadian-rhythmicity
3117,2019,0,circadian-rhythmicity
3118,2020,15,circadian-rhythmicity
3119,2021,15,circadian-rhythmicity
3120,2022,15,circadian-rhythmicity
3121,2023,15,circadian-rhythmicity
3122,2024,15,circadian-rhythmicity
3123,2025,15,circadian-rhythmicity
3124,2013,0,circos
3125,2016,0,circos
3126,2017,10,circos
3127,2018,10,circos
3128,2019,49,circos
3129,2020,49,circos
3130,2021,49,circos
3131,2022,207,circos
3132,2023,245,circos
3133,2024,245,circos
3134,2025,1787,circos
3135,2013,0,circos-graphs
3136,2016,0,circos-graphs
3137,2017,0,circos-graphs
3138,2018,0,circos-graphs
3139,2019,39,circos-graphs
3140,2020,39,circos-graphs
3141,2021,39,circos-graphs
3142,2022,197,circos-graphs
3143,2023,197,circos-graphs
3144,2024,197,circos-graphs
3145,2025,724,circos-graphs
3146,2013,0,circrna
3147,2016,0,circrna
3148,2017,0,circrna
3149,2018,0,circrna
3150,2019,0,circrna
3151,2020,16,circrna
3152,2021,16,circrna
3153,2022,16,circrna
3154,2023,16,circrna
3155,2024,16,circrna
3156,2025,16,circrna
3157,2013,0,circrnas
3158,2016,0,circrnas
3159,2017,0,circrnas
3160,2018,0,circrnas
3161,2019,0,circrnas
3162,2020,16,circrnas
3163,2021,16,circrnas
3164,2022,16,circrnas
3165,2023,16,circrnas
3166,2024,16,circrnas
3167,2025,16,circrnas
3168,2013,0,circseq
3169,2016,0,circseq
3170,2017,0,circseq
3171,2018,0,circseq
3172,2019,0,circseq
3173,2020,16,circseq
3174,2021,16,circseq
3175,2022,16,circseq
3176,2023,16,circseq
3177,2024,16,circseq
3178,2025,16,circseq
3179,2013,0,circular
3180,2016,0,circular
3181,2017,0,circular
3182,2018,0,circular
3183,2019,0,circular
3184,2020,0,circular
3185,2021,0,circular
3186,2022,0,circular
3187,2023,0,circular
3188,2024,0,circular
3189,2025,527,circular
3190,2013,0,circular-genome
3191,2016,0,circular-genome
3192,2017,0,circular-genome
3193,2018,0,circular-genome
3194,2019,25,circular-genome
3195,2020,25,circular-genome
3196,2021,25,circular-genome
3197,2022,25,circular-genome
3198,2023,25,circular-genome
3199,2024,25,circular-genome
3200,2025,25,circular-genome
3201,2013,0,circular-rna
3202,2016,0,circular-rna
3203,2017,0,circular-rna
3204,2018,0,circular-rna
3205,2019,0,circular-rna
3206,2020,16,circular-rna
3207,2021,16,circular-rna
3208,2022,53,circular-rna
3209,2023,53,circular-rna
3210,2024,53,circular-rna
3211,2025,53,circular-rna
3212,2013,0,classification
3213,2016,0,classification
3214,2017,0,classification
3215,2018,0,classification
3216,2019,23,classification
3217,2020,23,classification
3218,2021,23,classification
3219,2022,23,classification
3220,2023,23,classification
3221,2024,95,classification
3222,2025,95,classification
3223,2013,0,claude
3224,2016,0,claude
3225,2017,0,claude
3226,2018,0,claude
3227,2019,0,claude
3228,2020,0,claude
3229,2021,0,claude
3230,2022,0,claude
3231,2023,0,claude
3232,2024,0,claude
3233,2025,2686,claude
3234,2013,0,claude-skills
3235,2016,0,claude-skills
3236,2017,0,claude-skills
3237,2018,0,claude-skills
3238,2019,0,claude-skills
3239,2020,0,claude-skills
3240,2021,0,claude-skills
3241,2022,0,claude-skills
3242,2023,0,claude-skills
3243,2024,0,claude-skills
3244,2025,2117,claude-skills
3245,2013,0,claudecode
3246,2016,0,claudecode
3247,2017,0,claudecode
3248,2018,0,claudecode
3249,2019,0,claudecode
3250,2020,0,claudecode
3251,2021,0,claudecode
3252,2022,0,claudecode
3253,2023,0,claudecode
3254,2024,0,claudecode
3255,2025,2117,claudecode
3256,2013,0,cli
3257,2016,0,cli
3258,2017,10,cli
3259,2018,10,cli
3260,2019,10,cli
3261,2020,10,cli
3262,2021,10,cli
3263,2022,10,cli
3264,2023,61,cli
3265,2024,61,cli
3266,2025,61,cli
3267,2013,0,client
3268,2016,14,client
3269,2017,14,client
3270,2018,14,client
3271,2019,14,client
3272,2020,14,client
3273,2021,14,client
3274,2022,14,client
3275,2023,14,client
3276,2024,14,client
3277,2025,14,client
3278,2013,0,clinical
3279,2016,0,clinical
3280,2017,0,clinical
3281,2018,16,clinical
3282,2019,16,clinical
3283,2020,16,clinical
3284,2021,16,clinical
3285,2022,115,clinical
3286,2023,115,clinical
3287,2024,115,clinical
3288,2025,115,clinical
3289,2013,0,clinical-genomics
3290,2016,0,clinical-genomics
3291,2017,0,clinical-genomics
3292,2018,0,clinical-genomics
3293,2019,0,clinical-genomics
3294,2020,0,clinical-genomics
3295,2021,0,clinical-genomics
3296,2022,0,clinical-genomics
3297,2023,69,clinical-genomics
3298,2024,69,clinical-genomics
3299,2025,69,clinical-genomics
3300,2013,0,clinical-research
3301,2016,0,clinical-research
3302,2017,0,clinical-research
3303,2018,0,clinical-research
3304,2019,0,clinical-research
3305,2020,0,clinical-research
3306,2021,0,clinical-research
3307,2022,0,clinical-research
3308,2023,0,clinical-research
3309,2024,0,clinical-research
3310,2025,2117,clinical-research
3311,2013,0,clinvar
3312,2016,0,clinvar
3313,2017,0,clinvar
3314,2018,0,clinvar
3315,2019,0,clinvar
3316,2020,0,clinvar
3317,2021,0,clinvar
3318,2022,99,clinvar
3319,2023,99,clinvar
3320,2024,99,clinvar
3321,2025,99,clinvar
3322,2013,0,clonality
3323,2016,0,clonality
3324,2017,0,clonality
3325,2018,0,clonality
3326,2019,0,clonality
3327,2020,0,clonality
3328,2021,0,clonality
3329,2022,0,clonality
3330,2023,0,clonality
3331,2024,72,clonality
3332,2025,72,clonality
3333,2013,0,cloud
3334,2016,0,cloud
3335,2017,0,cloud
3336,2018,0,cloud
3337,2019,0,cloud
3338,2020,69,cloud
3339,2021,69,cloud
3340,2022,105,cloud
3341,2023,105,cloud
3342,2024,105,cloud
3343,2025,4801,cloud
3344,2013,0,cloud-computing
3345,2016,0,cloud-computing
3346,2017,0,cloud-computing
3347,2018,0,cloud-computing
3348,2019,0,cloud-computing
3349,2020,40,cloud-computing
3350,2021,40,cloud-computing
3351,2022,40,cloud-computing
3352,2023,40,cloud-computing
3353,2024,40,cloud-computing
3354,2025,40,cloud-computing
3355,2013,0,cluster
3356,2016,0,cluster
3357,2017,0,cluster
3358,2018,0,cluster
3359,2019,0,cluster
3360,2020,0,cluster
3361,2021,0,cluster
3362,2022,0,cluster
3363,2023,0,cluster
3364,2024,0,cluster
3365,2025,413,cluster
3366,2013,0,cluster-tracking
3367,2016,0,cluster-tracking
3368,2017,0,cluster-tracking
3369,2018,0,cluster-tracking
3370,2019,0,cluster-tracking
3371,2020,17,cluster-tracking
3372,2021,17,cluster-tracking
3373,2022,17,cluster-tracking
3374,2023,17,cluster-tracking
3375,2024,17,cluster-tracking
3376,2025,17,cluster-tracking
3377,2013,0,clusterflow
3378,2016,0,clusterflow
3379,2017,0,clusterflow
3380,2018,0,clusterflow
3381,2019,0,clusterflow
3382,2020,0,clusterflow
3383,2021,0,clusterflow
3384,2022,0,clusterflow
3385,2023,98,clusterflow
3386,2024,98,clusterflow
3387,2025,98,clusterflow
3388,2013,0,clustering
3389,2016,0,clustering
3390,2017,45,clustering
3391,2018,58,clustering
3392,2019,83,clustering
3393,2020,141,clustering
3394,2021,157,clustering
3395,2022,310,clustering
3396,2023,310,clustering
3397,2024,310,clustering
3398,2025,2167,clustering
3399,2013,0,clustering-analysis
3400,2016,0,clustering-analysis
3401,2017,0,clustering-analysis
3402,2018,0,clustering-analysis
3403,2019,0,clustering-analysis
3404,2020,0,clustering-analysis
3405,2021,141,clustering-analysis
3406,2022,141,clustering-analysis
3407,2023,141,clustering-analysis
3408,2024,141,clustering-analysis
3409,2025,141,clustering-analysis
3410,2013,0,clustering-coefficient
3411,2016,0,clustering-coefficient
3412,2017,0,clustering-coefficient
3413,2018,0,clustering-coefficient
3414,2019,0,clustering-coefficient
3415,2020,0,clustering-coefficient
3416,2021,0,clustering-coefficient
3417,2022,26,clustering-coefficient
3418,2023,26,clustering-coefficient
3419,2024,26,clustering-coefficient
3420,2025,26,clustering-coefficient
3421,2013,0,cmap
3422,2016,0,cmap
3423,2017,0,cmap
3424,2018,0,cmap
3425,2019,0,cmap
3426,2020,0,cmap
3427,2021,92,cmap
3428,2022,92,cmap
3429,2023,92,cmap
3430,2024,92,cmap
3431,2025,92,cmap
3432,2013,0,cnn
3433,2016,0,cnn
3434,2017,0,cnn
3435,2018,0,cnn
3436,2019,0,cnn
3437,2020,246,cnn
3438,2021,246,cnn
3439,2022,246,cnn
3440,2023,246,cnn
3441,2024,246,cnn
3442,2025,246,cnn
3443,2013,0,cnv
3444,2016,0,cnv
3445,2017,10,cnv
3446,2018,26,cnv
3447,2019,26,cnv
3448,2020,26,cnv
3449,2021,26,cnv
3450,2022,26,cnv
3451,2023,95,cnv
3452,2024,95,cnv
3453,2025,95,cnv
3454,2013,0,cnv-detection
3455,2016,0,cnv-detection
3456,2017,0,cnv-detection
3457,2018,0,cnv-detection
3458,2019,0,cnv-detection
3459,2020,0,cnv-detection
3460,2021,99,cnv-detection
3461,2022,99,cnv-detection
3462,2023,99,cnv-detection
3463,2024,99,cnv-detection
3464,2025,99,cnv-detection
3465,2013,0,cobra
3466,2016,0,cobra
3467,2017,0,cobra
3468,2018,0,cobra
3469,2019,0,cobra
3470,2020,0,cobra
3471,2021,0,cobra
3472,2022,0,cobra
3473,2023,0,cobra
3474,2024,0,cobra
3475,2025,531,cobra
3476,2013,0,code4lib
3477,2016,0,code4lib
3478,2017,0,code4lib
3479,2018,0,code4lib
3480,2019,0,code4lib
3481,2020,0,code4lib
3482,2021,0,code4lib
3483,2022,0,code4lib
3484,2023,0,code4lib
3485,2024,0,code4lib
3486,2025,559,code4lib
3487,2013,0,codeml
3488,2016,0,codeml
3489,2017,0,codeml
3490,2018,0,codeml
3491,2019,0,codeml
3492,2020,21,codeml
3493,2021,21,codeml
3494,2022,21,codeml
3495,2023,21,codeml
3496,2024,21,codeml
3497,2025,21,codeml
3498,2013,0,codon-optimizer
3499,2016,0,codon-optimizer
3500,2017,0,codon-optimizer
3501,2018,0,codon-optimizer
3502,2019,0,codon-optimizer
3503,2020,0,codon-optimizer
3504,2021,0,codon-optimizer
3505,2022,0,codon-optimizer
3506,2023,0,codon-optimizer
3507,2024,716,codon-optimizer
3508,2025,716,codon-optimizer
3509,2013,0,codon-tables
3510,2016,0,codon-tables
3511,2017,0,codon-tables
3512,2018,0,codon-tables
3513,2019,0,codon-tables
3514,2020,0,codon-tables
3515,2021,0,codon-tables
3516,2022,76,codon-tables
3517,2023,76,codon-tables
3518,2024,76,codon-tables
3519,2025,76,codon-tables
3520,2013,0,codons
3521,2016,0,codons
3522,2017,0,codons
3523,2018,0,codons
3524,2019,0,codons
3525,2020,0,codons
3526,2021,0,codons
3527,2022,0,codons
3528,2023,37,codons
3529,2024,37,codons
3530,2025,37,codons
3531,2013,0,coge
3532,2016,0,coge
3533,2017,0,coge
3534,2018,0,coge
3535,2019,0,coge
3536,2020,0,coge
3537,2021,46,coge
3538,2022,46,coge
3539,2023,46,coge
3540,2024,46,coge
3541,2025,46,coge
3542,2013,0,collaborative-filtering
3543,2016,0,collaborative-filtering
3544,2017,0,collaborative-filtering
3545,2018,0,collaborative-filtering
3546,2019,0,collaborative-filtering
3547,2020,28,collaborative-filtering
3548,2021,28,collaborative-filtering
3549,2022,28,collaborative-filtering
3550,2023,28,collaborative-filtering
3551,2024,28,collaborative-filtering
3552,2025,28,collaborative-filtering
3553,2013,0,colocalization
3554,2016,0,colocalization
3555,2017,0,colocalization
3556,2018,0,colocalization
3557,2019,0,colocalization
3558,2020,0,colocalization
3559,2021,0,colocalization
3560,2022,0,colocalization
3561,2023,42,colocalization
3562,2024,42,colocalization
3563,2025,42,colocalization
3564,2013,0,command
3565,2016,0,command
3566,2017,0,command
3567,2018,0,command
3568,2019,0,command
3569,2020,0,command
3570,2021,0,command
3571,2022,0,command
3572,2023,0,command
3573,2024,0,command
3574,2025,1062,command
3575,2013,0,command-line
3576,2016,0,command-line
3577,2017,24,command-line
3578,2018,24,command-line
3579,2019,24,command-line
3580,2020,24,command-line
3581,2021,154,command-line
3582,2022,154,command-line
3583,2023,154,command-line
3584,2024,154,command-line
3585,2025,2336,command-line
3586,2013,0,command-line-tool
3587,2016,0,command-line-tool
3588,2017,0,command-line-tool
3589,2018,0,command-line-tool
3590,2019,0,command-line-tool
3591,2020,0,command-line-tool
3592,2021,0,command-line-tool
3593,2022,0,command-line-tool
3594,2023,0,command-line-tool
3595,2024,114,command-line-tool
3596,2025,114,command-line-tool
3597,2013,0,common-lisp
3598,2016,0,common-lisp
3599,2017,0,common-lisp
3600,2018,0,common-lisp
3601,2019,54,common-lisp
3602,2020,54,common-lisp
3603,2021,54,common-lisp
3604,2022,54,common-lisp
3605,2023,54,common-lisp
3606,2024,54,common-lisp
3607,2025,54,common-lisp
3608,2013,0,common-workflow-language
3609,2016,0,common-workflow-language
3610,2017,0,common-workflow-language
3611,2018,0,common-workflow-language
3612,2019,40,common-workflow-language
3613,2020,40,common-workflow-language
3614,2021,40,common-workflow-language
3615,2022,96,common-workflow-language
3616,2023,96,common-workflow-language
3617,2024,96,common-workflow-language
3618,2025,96,common-workflow-language
3619,2013,0,comparative-analysis
3620,2016,0,comparative-analysis
3621,2017,0,comparative-analysis
3622,2018,0,comparative-analysis
3623,2019,0,comparative-analysis
3624,2020,0,comparative-analysis
3625,2021,0,comparative-analysis
3626,2022,0,comparative-analysis
3627,2023,38,comparative-analysis
3628,2024,38,comparative-analysis
3629,2025,38,comparative-analysis
3630,2013,0,comparative-genomics
3631,2016,0,comparative-genomics
3632,2017,10,comparative-genomics
3633,2018,10,comparative-genomics
3634,2019,10,comparative-genomics
3635,2020,64,comparative-genomics
3636,2021,110,comparative-genomics
3637,2022,163,comparative-genomics
3638,2023,201,comparative-genomics
3639,2024,201,comparative-genomics
3640,2025,2584,comparative-genomics
3641,2013,0,comparative-linguistics
3642,2016,0,comparative-linguistics
3643,2017,0,comparative-linguistics
3644,2018,0,comparative-linguistics
3645,2019,0,comparative-linguistics
3646,2020,0,comparative-linguistics
3647,2021,0,comparative-linguistics
3648,2022,31,comparative-linguistics
3649,2023,31,comparative-linguistics
3650,2024,31,comparative-linguistics
3651,2025,31,comparative-linguistics
3652,2013,0,comparing-biological-sequences
3653,2016,0,comparing-biological-sequences
3654,2017,0,comparing-biological-sequences
3655,2018,0,comparing-biological-sequences
3656,2019,12,comparing-biological-sequences
3657,2020,12,comparing-biological-sequences
3658,2021,12,comparing-biological-sequences
3659,2022,12,comparing-biological-sequences
3660,2023,12,comparing-biological-sequences
3661,2024,12,comparing-biological-sequences
3662,2025,12,comparing-biological-sequences
3663,2013,0,comparison
3664,2016,0,comparison
3665,2017,45,comparison
3666,2018,45,comparison
3667,2019,45,comparison
3668,2020,87,comparison
3669,2021,87,comparison
3670,2022,87,comparison
3671,2023,493,comparison
3672,2024,493,comparison
3673,2025,493,comparison
3674,2013,0,compbio
3675,2016,0,compbio
3676,2017,0,compbio
3677,2018,0,compbio
3678,2019,0,compbio
3679,2020,0,compbio
3680,2021,0,compbio
3681,2022,0,compbio
3682,2023,0,compbio
3683,2024,190,compbio
3684,2025,190,compbio
3685,2013,0,compiler
3686,2016,0,compiler
3687,2017,0,compiler
3688,2018,0,compiler
3689,2019,0,compiler
3690,2020,0,compiler
3691,2021,0,compiler
3692,2022,706,compiler
3693,2023,706,compiler
3694,2024,706,compiler
3695,2025,706,compiler
3696,2013,0,compilers
3697,2016,0,compilers
3698,2017,0,compilers
3699,2018,0,compilers
3700,2019,0,compilers
3701,2020,0,compilers
3702,2021,27,compilers
3703,2022,27,compilers
3704,2023,27,compilers
3705,2024,27,compilers
3706,2025,27,compilers
3707,2013,0,complex-networks
3708,2016,0,complex-networks
3709,2017,0,complex-networks
3710,2018,0,complex-networks
3711,2019,0,complex-networks
3712,2020,0,complex-networks
3713,2021,0,complex-networks
3714,2022,26,complex-networks
3715,2023,74,complex-networks
3716,2024,74,complex-networks
3717,2025,74,complex-networks
3718,2013,0,complex-systems
3719,2016,0,complex-systems
3720,2017,0,complex-systems
3721,2018,0,complex-systems
3722,2019,0,complex-systems
3723,2020,0,complex-systems
3724,2021,0,complex-systems
3725,2022,0,complex-systems
3726,2023,48,complex-systems
3727,2024,48,complex-systems
3728,2025,48,complex-systems
3729,2013,0,complexity-analysis
3730,2016,0,complexity-analysis
3731,2017,0,complexity-analysis
3732,2018,0,complexity-analysis
3733,2019,0,complexity-analysis
3734,2020,0,complexity-analysis
3735,2021,0,complexity-analysis
3736,2022,0,complexity-analysis
3737,2023,48,complexity-analysis
3738,2024,48,complexity-analysis
3739,2025,48,complexity-analysis
3740,2013,0,compliance
3741,2016,0,compliance
3742,2017,0,compliance
3743,2018,0,compliance
3744,2019,0,compliance
3745,2020,0,compliance
3746,2021,103,compliance
3747,2022,103,compliance
3748,2023,103,compliance
3749,2024,103,compliance
3750,2025,103,compliance
3751,2013,0,component
3752,2016,0,component
3753,2017,0,component
3754,2018,33,component
3755,2019,33,component
3756,2020,33,component
3757,2021,33,component
3758,2022,33,component
3759,2023,33,component
3760,2024,33,component
3761,2025,33,component
3762,2013,0,compressed-sensing
3763,2016,0,compressed-sensing
3764,2017,0,compressed-sensing
3765,2018,0,compressed-sensing
3766,2019,0,compressed-sensing
3767,2020,16,compressed-sensing
3768,2021,16,compressed-sensing
3769,2022,16,compressed-sensing
3770,2023,16,compressed-sensing
3771,2024,16,compressed-sensing
3772,2025,16,compressed-sensing
3773,2013,0,compression
3774,2016,0,compression
3775,2017,0,compression
3776,2018,0,compression
3777,2019,20,compression
3778,2020,20,compression
3779,2021,20,compression
3780,2022,20,compression
3781,2023,20,compression
3782,2024,20,compression
3783,2025,20,compression
3784,2013,0,computational-biology
3785,2016,0,computational-biology
3786,2017,65,computational-biology
3787,2018,295,computational-biology
3788,2019,491,computational-biology
3789,2020,620,computational-biology
3790,2021,1053,computational-biology
3791,2022,2189,computational-biology
3792,2023,2855,computational-biology
3793,2024,4875,computational-biology
