name;stars;created;forks;topics;language;selected_year
AhmedYoussef95/Bioinformatics-PhD-Programs;10;2017-12-01;4;['bioinformatics', 'phd-programs'];R;2019
XiaLabBioinformatics/m6AMethylation;10;2019-03-09;6;['bioinformatics', 'human', 'm6a', 'tissue'];Python;2019
TrisKast/DataScience-Bioinformatics;10;2019-05-04;2;['bioinformatics', 'datascience', 'jupyter-notebooks', 'pandas', 'python', 'scipy', 'seaborn'];Jupyter Notebook;2019
sanger-pathogens/snp-sites;271;2012-01-24;49;['bioinformatics', 'bioinformatics-pipeline', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing'];C;2020
tiagoantao/bioinf-python;262;2014-11-04;104;['bioinformatics', 'python'];OpenEdge ABL;2020
sumanismcse/Plant-Disease-Identification-using-CNN;248;2019-04-27;56;['bioinformatics', 'bioinformatics-analysis', 'cnn', 'convolutional-neural-networks', 'final-project', 'final-year-project', 'image-analysis', 'image-processing', 'kaggle', 'machine-learning', 'machine-learning-algorithms', 'machinelearning', 'neural', 'neural-networks', 'neuralnetwork', 'paper-implementations', 'plant-disease', 'project', 'python', 'tensorflow'];Python;2020
OpenGene/AfterQC;212;2015-08-04;53;['adapter-trimming', 'bioinformatics', 'error', 'fastq', 'filtering', 'ngs', 'overlap', 'qc', 'quality-control', 'sequencing', 'trimming'];Python;2020
rnnh/bioinfo-notebook;200;2020-02-26;47;['bash', 'bash-script', 'bioconda', 'bioinformatics', 'bioinformatics-notebook', 'bioinformatics-programs', 'conda', 'fastq-dump', 'featurecounts', 'ubuntu', 'video-demonstration', 'windows-subsystem'];Shell;2020
lh3/kmer-cnt;171;2020-02-22;17;['bioinformatics', 'genomics', 'k-mer-counting'];C++;2020
alastair-droop/fqtools;138;2016-01-15;20;['bioinformatics', 'fastq', 'fastq-files', 'next-generation-sequencing'];C;2020
Daniel-Liu-c0deb0t/cute-nucleotides;129;2020-07-14;4;['algorithms', 'avx2', 'bioinformatics', 'rust', 'simd', 'sse'];Rust;2020
bionitio-team/bionitio;117;2016-04-28;25;['best-practises', 'bioinformatics'];Shell;2020
labsquare/FastQt;113;2016-10-27;24;['bioinformatics', 'fastq', 'fastq-format', 'gui', 'qt5'];C++;2020
gwjensen/SnakeStrike;110;2019-07-30;20;['animal-movement', 'animal-science', 'animal-tracking', 'bioinformatics', 'computer-vision', 'high-performance', 'high-speed-imaging', 'low-cost', 'motion-tracking', 'multi-camera', 'multi-camera-tracker', 'multi-camera-tracking', 'snakes', 'tracking', 'tracking-algorithm', 'triangulation'];C++;2020
lh3/fermikit;110;2015-04-11;21;['bioinformatics', 'denovo-assembly', 'genomics', 'variant-calling'];TeX;2020
GreenleafLab/NucleoATAC;109;2015-03-10;32;['atac-seq', 'bioinformatics', 'nuclesosome'];Python;2020
BaderLab/saber;102;2018-02-15;17;['bioinformatics', 'biomedical-named-entity-recognition', 'biomedical-text-mining', 'deep-learning', 'information-extraction', 'machine-learning', 'spacy'];Python;2020
chris-rands/biopython-coronavirus;100;2020-03-20;21;['bioinformatics', 'biopython', 'coronavirus', 'covid-19', 'genomics', 'jupyter-notebook', 'python'];Jupyter Notebook;2020
jminnier/STARTapp;88;2016-03-21;41;['bioinformatics', 'genome-biology', 'r', 'rna-seq', 'shiny', 'shiny-apps', 'transcriptome', 'visualization'];HTML;2020
jdrudolph/goenrich;88;2015-06-11;23;['annotation-enrichment', 'bioinformatics', 'gene-ontology'];Python;2020
mims-harvard/ohmnet;84;2017-03-18;32;['bioinformatics', 'deep-learning', 'feature-learning', 'genomics', 'multi-layer', 'neural-embeddings'];Python;2020
grailbio/bio;78;2018-03-26;15;['bioinformatics', 'data-science', 'golang'];Go;2020
vpc-ccg/haslr;78;2019-12-31;9;['bioinformatics', 'genome-assembly', 'genomics', 'hybrid-assembly', 'long-reads', 'nanopore', 'pacbio'];C++;2020
BioJulia/GenomeGraphs.jl;71;2019-02-12;7;['bio', 'bioinformatics', 'bioinformatics-analysis', 'biology', 'genome-assembly', 'genome-graph', 'genome-sequencing', 'genomes', 'genomics', 'julia'];Julia;2020
yakneens/butler;70;2015-08-27;18;['bioinformatics', 'cloud', 'docker', 'python', 'science', 'workflow'];Python;2020
alexpreynolds/sample;69;2014-05-29;12;['bed', 'bioinformatics', 'c', 'genomics', 'reservoir-sampling', 'sampling'];C;2020
EngqvistLab/Tome;63;2018-10-29;15;['archaea', 'bacteria', 'bioinformatics', 'enzymes', 'eukaryotes', 'machine-learning', 'microbiology', 'temperature-data'];Python;2020
statgen/locuszoom-standalone;61;2016-03-02;20;['bioinformatics', 'genetics', 'visualization'];Python;2020
Candlelight-XYJ/Bioinformatics-Project;60;2018-11-27;16;['bioinformatics', 'ngs-analysis'];Shell;2020
dantaki/SV2;58;2017-01-26;11;['bioinformatics', 'de-novo-mutation', 'genotype', 'genotyping-by-sequencing', 'machine-learning', 'structural-variation'];Python;2020
isovic/raptor;55;2019-04-10;2;['alignment', 'assembly-graphs', 'bioinformatics', 'genomics', 'graph-mapping', 'mapping'];Perl;2020
lh3/CHM-eval;55;2016-05-11;8;['bioinformatics', 'genomics', 'variant-calling'];TeX;2020
brentp/hts-nim-tools;50;2018-01-05;6;['bam', 'bioinformatics', 'genomics', 'nim', 'nim-lang', 'vcf', 'vcf-filtering'];Nim;2020
audy/bioinformatics-hacks;49;2010-04-28;15;['bioinformatics', 'hacks'];Python;2020
edawson/rkmh;48;2016-06-26;3;['bioinformatics', 'kmer', 'minhash', 'mutations', 'nanopore', 'openmp'];C++;2020
ppsp-team/StratiPy;46;2015-05-06;19;['bioinformatics', 'genomics', 'graph', 'nmf', 'ppi', 'python', 'stratification'];Jupyter Notebook;2020
jordanlab/stringMLST;45;2016-09-14;8;['applied-bioinformatics-lab', 'bacterial-database', 'bacterial-genomes', 'bioinformatics', 'fastq-files', 'kmer', 'mlst', 'python'];Python;2020
brentp/bigly;43;2016-11-09;5;['bioinformatics', 'genomics'];Go;2020
jgreener64/pdb-benchmarks;42;2016-05-13;7;['benchmarks', 'bioinformatics', 'comparison', 'mmcif', 'mmtf', 'pdb', 'pdb-files', 'structural-bioinformatics'];Python;2020
epruesse/SINA;41;2016-12-16;4;['16s', 'alignment', 'bioinformatics', 'rrna', 'sequence', 'silva'];C++;2020
ismms-himc/clustergrammer2-notebooks;40;2018-11-05;11;['binder', 'binder-ready', 'bioinformatics', 'jupyter', 'notebook', 'scrna-seq'];Jupyter Notebook;2020
Cinofix/Afternotes;40;2019-02-21;5;['artificial-intelligence', 'bioinformatics', 'cloud-computing', 'latex', 'notes'];TeX;2020
imminfo/tcr;40;2013-10-30;21;['bioinformatics', 'bioinformatics-analysis', 'data-analysis', 'ig', 'ig-repertoire', 'immunoinformatics', 'immunology', 'tcr', 'tcr-repertoire'];R;2020
metasoarous/tripl;35;2017-05-18;6;['bioinformatics', 'datascript', 'datomic', 'eav', 'graph-data', 'json-data', 'rdf'];Python;2020
zhouzilu/DENDRO;35;2017-12-16;6;['bioinformatics', 'computational-biology', 'single-cell', 'statistics', 'tumor-heterogeneity'];R;2020
zch42/BiFusion;34;2020-03-27;9;['bioinformatics', 'drug-repurposing', 'graph-neural-networks', 'link-prediction', 'pytorch'];Python;2020
orangeSi/GSSplayground;33;2018-03-10;8;['bam', 'bioinformatics', 'comparative-genomics', 'crosslink', 'depth', 'genecluster', 'genome-viewer', 'genomes', 'igv-like', 'indel', 'long-reads', 'read-mapping', 'snp', 'structure-variation', 'sv', 'svg', 'synteny', 'transcriptomics', 'vcf', 'visualization'];HTML;2020
nasqar/seuratv3wizard;32;2019-02-05;13;['bioinformatics', 'r', 'seurat', 'shiny', 'shiny-apps', 'single-cell', 'single-cell-analysis', 'single-cell-genomics', 'single-cell-rna-seq', 'visualization', 'webapp'];R;2020
nasqar/NASQAR;32;2019-04-04;11;['bioinformatics', 'bioinformatics-analysis', 'deseq2', 'docker', 'nasqar', 'rna-seq', 'seurat', 'shiny-apps', 'single-cell', 'web-application'];HTML;2020
DTUComputeStatisticsAndDataAnalysis/MBPLS;32;2018-01-08;7;['bioinformatics', 'chemometrics', 'data-fusion', 'data-integration', 'data-science', 'machine-learning', 'metabolomics', 'multivariate-analysis', 'multivariate-statistics', 'pattern-recognition', 'subspace-learning', 'supervised-learning'];Python;2020
lh3/klib.nim;31;2020-04-20;1;['bioinformatics'];Nim;2020
sanger-pathogens/plasmidtron;29;2017-01-11;7;['bioinformatics', 'bioinformatics-pipeline', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing'];Python;2020
amberbiology/py4lifesci;29;2016-10-04;18;['bioinformatics', 'book', 'computational-biology', 'life-sciences', 'next-generation-sequencing', 'python', 'systems-biology'];Python;2020
divyanshu-talwar/AutoImpute;28;2018-06-28;9;['autoencoder', 'autoimpute', 'bioinformatics', 'collaborative-filtering', 'machine-learning', 'recommender-systems', 'rna-seq', 'single-cell'];Python;2020
ryought/mummer-idotplot;27;2019-05-22;4;['bioinformatics', 'dotplot', 'genome-alignment', 'mummer', 'visualization'];Python;2020
dib-lab/elvers;27;2018-06-11;3;['bioinformatics', 'rnaseq-analysis', 'transcriptomics'];Python;2020
bionitio-team/bionitio-python;26;2017-10-20;12;['best-practices', 'bioinformatics'];Python;2020
asmitapoddar/Deep-Learning-DNA-Sequences;25;2020-05-20;9;['attention-mechanism', 'bioinformatics', 'deep-learning', 'dna-sequences', 'lstm', 'seq2seq', 'visualization'];Python;2020
gf712/AbPyTools;25;2017-01-18;3;['antibody', 'antibody-numbering', 'antibody-sequences', 'bioinformatics', 'python'];Python;2020
leylabmpi/DeepMAsED;25;2019-09-02;5;['bioinformatics', 'deep-learning', 'metagenome-assembly', 'metagenomics'];Jupyter Notebook;2020
sanger-pathogens/saffrontree;25;2017-02-25;3;['bioinformatics', 'bioinformatics-pipeline', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing'];Python;2020
MetaSUB/MetaSUB_CAP;25;2017-10-03;11;['bioinformatics', 'bioinformatics-pipeline', 'metagenomics', 'microbiome', 'pipeline'];Python;2020
lightdock/lightdock-python2.7;24;2017-05-25;9;['anm', 'bioinformatics', 'dna', 'docking', 'gso', 'pdb', 'peptides', 'protein', 'protein-design', 'protein-docking-framework', 'protein-protein', 'protein-protein-docking', 'protein-protein-interaction', 'protein-structure', 'proteins', 'scientific-computing', 'simulation', 'swarm', 'swarm-intelligence'];C++;2020
pgxcentre/manhattan_generator;24;2016-02-08;8;['bioinformatics', 'genetics', 'genomics', 'plot'];Python;2020
PaulKlinger/dna-sculpture;24;2019-12-26;0;['bioinformatics', 'electronics', 'raspberry-pi'];Python;2020
Team-Rosalind/team-rosalind-project;24;2020-08-01;18;['bioinformatics', 'bioinformatics-analysis', 'computational-biology', 'hackbio', 'internship', 'internship-challenge', 'internship-task', 'team-rosalind'];Shell;2020
TheJacksonLaboratory/pyBedGraph;23;2019-07-09;2;['atac-seq', 'bedgraph', 'bedgraph-files', 'bioinformatics', 'chip-seq'];Python;2020
shao-lab/MAnorm;23;2017-10-22;6;['bioinformatics', 'chip-seq', 'differential-expression', 'ngs', 'normalization'];Python;2020
gwct/referee;21;2018-09-29;3;['bioinformatics', 'genome-assembly', 'genomics', 'quality-score'];Python;2020
robinvanderlee/positive-selection;21;2017-06-28;17;['bioinformatics', 'bioinformatics-analysis', 'bioinformatics-pipeline', 'bioinformatics-scripts', 'codeml', 'comparative-genomics', 'computational-biology', 'ensembl', 'evolution', 'genetics', 'genome-analysis', 'genomes', 'genomics', 'immunity', 'positive-selection', 'primates', 'sequence-alignment'];Perl;2020
pylattice/pyLattice;21;2018-02-10;8;['bioinformatics', 'biological-data-analysis', 'biophysics', 'image-analysis', 'lattice-light-sheet', 'llsm', 'tracking'];Jupyter Notebook;2020
gitter-lab/LPWC;21;2017-08-07;3;['bioinformatics', 'clustering', 'time-series'];R;2020
VespucciProject/Vespucci;20;2016-01-07;8;['bioinformatics', 'cheminformatics', 'chemistry', 'spectroscopy'];C++;2020
chmccarthy/Pangloss;20;2018-03-13;4;['bioinformatics', 'eukaryotes', 'pangenome'];Perl;2020
clintval/cvbio;20;2019-05-06;3;['bioinformatics', 'computational-biology', 'disambiguation', 'genomics', 'ngs'];Scala;2020
lutteropp/QuartetScores;19;2017-05-17;3;['bioinformatics'];C++;2020
compmetagen/micca;19;2014-07-01;9;['amplicon', 'bioinformatics', 'clustering', 'metagenomics'];Python;2020
AlgoLab/shark;19;2018-09-12;1;['alignment-free', 'bioinformatics', 'filtering', 'rna-seq'];C++;2020
SGDDNB/hrpi;18;2020-05-16;8;['bioinformatics', 'reprogramming', 'rna-seq', 'single-cell'];HTML;2020
mgalardini/pdb2uniprot;17;2016-11-29;3;['bioinformatics', 'pdb', 'protein-structure'];Python;2020
vermasrijan/srijan-gsoc-2020;17;2020-03-31;5;['bioinformatics', 'covid-19', 'differential-privacy', 'federated-learning', 'google-summer-of-code', 'gsoc', 'gsoc-2020', 'gtex', 'multiparty-computation', 'openmined', 'pygrid', 'pysyft'];Jupyter Notebook;2020
pblischak/polyploid-genotyping;17;2016-12-02;3;['bioinformatics', 'cpp11', 'genotype-likelihoods', 'manuscript', 'population-genetics', 'rcpp', 'snp-genotyping'];C++;2020
wiedenhoeft/HaMMLET;17;2014-01-25;3;['bayesian-data-analysis', 'bayesian-inference', 'bayesian-statistics', 'bioinformatics', 'genome', 'genome-analysis', 'genomics', 'hidden-markov-model', 'hidden-markov-models', 'hmm', 'machine-learning', 'segmentation', 'statistical-inference', 'statistics', 'time-series', 'time-series-analysis', 'wavelet', 'wavelet-compression', 'wavelet-transform', 'wavelets'];C++;2020
ghar1821/Chronoclust;17;2019-01-24;4;['bioinformatics', 'cluster-tracking', 'clustering', 'cytometry', 'time-series-clustering'];Python;2020
nasqar/ClusterProfShinyGSEA;16;2019-07-08;8;['bioinformatics', 'geneset-enrichment', 'geneset-enrichment-analysis', 'gsea', 'kegg', 'kegg-pathway', 'r', 'shiny-apps', 'visualization', 'web-application'];R;2020
egaffo/CirComPara;16;2016-12-21;11;['bioinformatics', 'bioinformatics-pipeline', 'circrna', 'circrnas', 'circseq', 'circular-rna', 'gene-expression', 'rna-seq', 'rna-seq-analysis', 'rna-seq-data', 'rna-seq-pipeline', 'transcriptomics'];R;2020
DavideNardone/A-Sparse-Coding-Based-Approach-for-Class-Specific-Feature-Selection;16;2018-01-27;4;['bioinformatics', 'compressed-sensing', 'feature-selection', 'machine-learning', 'optimization', 'sparse-coding', 'tuning-parameters'];Python;2020
arvkevi/clinvar-kaggle;16;2018-04-08;9;['bioinformatics', 'genomics', 'kaggle', 'kaggle-dataset', 'machine-learning'];Python;2020
brentp/genoiser;15;2018-04-25;0;['bioinformatics', 'genomics', 'high-throughput-sequencing', 'nim', 'nim-lang'];Nim;2020
delosh653/ECHO;15;2017-11-17;0;['bioinformatics', 'bioinformatics-tool', 'circadian', 'circadian-rhythm', 'circadian-rhythmicity', 'echo', 'extended-harmonic-oscillators', 'finding-rhythms', 'omics', 'oscillators', 'proteomics', 'transcriptomics'];R;2020
boxiangliu/covseq;15;2020-03-02;2;['bioinformatics', 'covid-19', 'sars-cov-2', 'visualization'];HTML;2020
sandberg-lab/Spreading-Correction;15;2017-08-03;4;['bioinformatics', 'single-cell-sequencing'];Jupyter Notebook;2020
yangjl/pseudoRef;14;2016-08-09;5;['bcf', 'bioinformatics', 'devtools', 'pseudo-reference-genome'];HTML;2020
SchulzLab/EpigenomicsTutorial-ISMB2017;14;2017-03-15;13;['bioinformatics', 'epigenomics', 'tutorial'];Shell;2020
shadowk29/CUSUM;14;2014-12-12;6;['bioinformatics', 'c', 'digital-signal-processing', 'dna', 'feature-detection', 'feature-extraction', 'nanopore', 'single-molecule', 'time-series-analysis'];C;2020
kloetzl/pfasta;14;2015-07-21;0;['bioinformatics', 'fasta', 'fasta-parser'];C;2020
molleraj/MetaCRAST;14;2016-05-27;1;['bioinformatics', 'bioinformatics-pipeline', 'ecology', 'metagenomic-data', 'metagenomics', 'perl'];Perl;2020
google/nucleus;799;2018-03-26;120;['bioinformatics', 'dna', 'genomics', 'tensorflow'];C++;2021
Illumina/strelka;389;2016-10-17;108;['bioinformatics', 'indels', 'snps', 'snvs'];C++;2021
Boyle-Lab/Blacklist;333;2014-10-09;41;['bioinformatics'];C++;2021
lh3/wgsim;283;2011-01-22;92;['bioinformatics', 'genomics'];C;2021
GoekeLab/bioinformatics-workflows;281;2020-09-14;49;['bioinformatics', 'bioinformatics-workflows', 'pipeline', 'rna-seq', 'workflow', 'workflow-management'];Python;2021
BIMSBbioinfo/janggu;257;2018-05-22;35;['bioinformatics', 'deep-learning', 'epigenetics', 'genomics', 'machine-learning'];Jupyter Notebook;2021
Benjamin-Lee/deep-rules;227;2018-10-09;44;['bioinformatics', 'biology', 'computational-biology', 'data-science', 'deep-learning', 'genomics', 'machine-learning', 'manubot', 'manuscript'];HTML;2021
lh3/biofast;185;2020-05-04;29;['bioinformatics'];C;2021
lh3/readfq;176;2011-08-31;58;['bioinformatics', 'sequence-analysis'];C;2021
malonge/RaGOO;174;2018-02-01;28;['bioinformatics', 'genome-assembly', 'genome-scaffolding'];Python;2021
lightaime/sgas;163;2019-11-28;28;['3d-point-clouds', 'automl', 'bioinformatics', 'computer-vision', 'deep-gcns', 'geometric-deep-learning', 'graph-neural-networks', 'neural-architecture-search'];Python;2021
rezacsedu/Deep-Learning-for-Clustering-in-Bioinformatics;141;2019-08-16;34;['autoencoders', 'bioinformatics', 'clustering-analysis', 'convolutional-autoencoder', 'deep-learning', 'lstm-neural-networks', 'neural-networks', 'representation-learning', 'variational-autoencoder'];Jupyter Notebook;2021
hall-lab/svtyper;136;2014-08-14;56;['bioinformatics', 'genomics', 'genotype', 'vcf'];Python;2021
biologyguy/BuddySuite;130;2015-01-15;23;['alignment', 'bioinformatics', 'biology', 'command-line', 'dna', 'phylogenetics', 'protein', 'python', 'workflow'];Python;2021
hahnlab/CAFE;117;2016-08-30;37;['bioinformatics', 'gene-families', 'phylogenetics'];C++;2021
lh3/hickit;113;2018-04-09;13;['bioinformatics', 'genomics', 'hi-c'];C;2021
mdshw5/fastqp;109;2013-09-23;15;['bioinformatics', 'fastq', 'kmer-distribution', 'nucleotide-plot', 'python', 'sam'];Python;2021
zonghui0228/rosalind-solutions;103;2017-04-13;23;['algorithms', 'bioinformatics', 'biology', 'rosalind'];Python;2021
kindlyops/havengrc;103;2016-09-19;22;['asset-management', 'bioinformatics', 'compliance', 'devops', 'devsecops', 'elm', 'ferpa', 'finra', 'fisma', 'gdpr', 'group-cognition', 'hipaa', 'risk-assessment', 'risk-management', 'vendor-management'];JavaScript;2021
JEFworks-Lab/HoneyBADGER;99;2017-02-24;31;['bayesian', 'bioinformatics', 'cnv-detection', 'heterogeneity', 'hmm', 'single-cell-analysis', 'single-cell-rna-seq', 'subpopulation', 'transcriptomics'];R;2021
cmap/cmapR;92;2017-03-28;36;['bioconductor', 'bioinformatics', 'cmap'];R;2021
lh3/unimap;87;2020-11-15;4;['bioinformatics', 'genomics', 'sequence-alignment'];C;2021
urmi-21/pyrpipe;84;2019-11-23;28;['bioconda', 'bioinformatics', 'bioinformatics-analysis', 'bioinformatics-pipeline', 'conda', 'ncbi-sra', 'python', 'rna-seq', 'rna-seq-pipeline', 'rna-seq-workflows'];Python;2021
FangpingWan/NeoDTI;77;2018-03-26;32;['bioinformatics', 'computational-biology', 'deep-learning', 'graph-convolution', 'machine-learning'];Python;2021
sanger-pathogens/pathogen-informatics-training;75;2015-11-12;35;['bioinformatics', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing'];Jupyter Notebook;2021
josiahseaman/FluentDNA;69;2016-03-02;6;['alignment', 'bioinformatics', 'bioinformatics-tool', 'chain-alignment', 'ddv', 'dna', 'fasta', 'fasta-sequences', 'fluent', 'fluentdna', 'liftover', 'msa', 'protein', 'sequencing', 'visualization'];JavaScript;2021
frallain/pymsfilereader;69;2015-09-30;26;['bioinformatics', 'comtypes-library', 'mass-spectrometry', 'python', 'python-bindings'];Python;2021
xmc811/Scillus;65;2019-08-22;11;['bioinformatics', 'data-visualization', 'rlang', 'single-cell-omics'];R;2021
QData/DeepChrome;63;2016-04-12;14;['bioinformatics', 'deep-neural-networks', 'epigenetic-data', 'understanding-computation'];Lua;2021
ostrokach/proteinsolver;60;2020-04-08;9;['bioinformatics', 'graph-neural-networks', 'protein', 'protein-design', 'protein-sequence', 'protein-structure', 'structural-biology'];Jupyter Notebook;2021
vinary-tree/liblevenshtein-java;58;2014-03-29;20;['approximate-string-matching', 'bioinformatics', 'computational-biology', 'computer-science', 'data-science', 'dictionary', 'distance-metric', 'edit-distance', 'finite-state-automata', 'finite-state-transducer', 'fuzzy-search', 'genomics', 'information-retrieval', 'levenshtein-automata', 'levenshtein-distance', 'machine-learning', 'natural-language-processing', 'search-engine', 'spelling-correction', 'universal-automata'];Java;2021
sanger-pathogens/iva;58;2014-04-30;19;['bioinformatics', 'bioinformatics-pipeline', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing'];Python;2021
sanger-pathogens/assembly_improvement;57;2012-08-15;20;['bioinformatics', 'bioinformatics-pipeline', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing'];Perl;2021
grailbio/go-dicom;55;2017-10-26;36;['bioinformatics', 'dicom', 'golang', 'medical-imaging'];Go;2021
stevekm/Bioinformatics;54;2015-04-27;16;['bioinformatics', 'biology', 'genomics', 'python', 'r'];Shell;2021
horsepurve/DeepRTplus;53;2016-11-07;22;['analytical-chemistry', 'bioinformatics', 'capsule-network', 'deep-learning', 'peptides', 'proteomics'];Python;2021
hall-lab/sv-pipeline;52;2017-03-15;20;['bioinformatics', 'genomics', 'structural-variation'];wdl;2021
onclave/NSGA-II;51;2017-07-11;22;['algorithm', 'bioinformatics', 'bioinformatics-tool', 'java', 'moea', 'multiobjective', 'multiobjective-optimization', 'nsga-ii', 'package', 'paper'];Java;2021
biod/BioD;49;2013-02-22;19;['bam', 'bioinformatics', 'd', 'sam'];D;2021
yangwu91/r2g;46;2020-08-10;1;['bioinformatics', 'bioinformatics-pipeline', 'gene-sequence-retrieval', 'homology', 'ncbi-sra', 'orthology', 'phylogenetics'];Python;2021
gerberlab/mitre;46;2017-06-12;4;['bayesian-inference', 'bioinformatics', 'computational-biology', 'microbiome', 'statistical-analysis'];Python;2021
LyonsLab/coge;46;2013-07-03;22;['bioinformatics', 'coge', 'comparative-genomics', 'genomics', 'genomics-visualization', 'perl', 'python', 'rna-seq', 'synteny'];Perl;2021
PaulKlinger/mrna_vaccine_badge;44;2021-07-18;9;['bioinformatics', 'covid-19', 'electronics', 'electronics-projects'];C;2021
covid19kg/covid19kg;43;2020-04-11;8;['bioinformatics', 'coronavirus-analysis', 'covid-19', 'covid19-data', 'knowledge-graph', 'networks-biology'];Python;2021
pyladies-brazil/grupo-estudo-bioinformatica;42;2020-09-15;13;['bioinformatics', 'bioinformatics-analysis', 'bioinformatics-pipeline', 'biopython', 'estudo', 'rosalind'];Jupyter Notebook;2021
lh3/partig;40;2021-03-18;1;['bioinformatics', 'sequence-assembly'];C;2021
grimmlab/BookChapter-RNA-Seq-Analyses;40;2020-03-02;11;['bioinformatics', 'differential-expression', 'pipeline', 'rnaseq-analysis'];Shell;2021
ycl6/16S-rDNA-V3-V4;38;2019-05-31;20;['16s', 'bioinformatics', 'dada2', 'illumina', 'lefse', 'microbiome', 'microbiota', 'phyloseq', 'picrust2'];R;2021
seandavi/wdlRunR;34;2016-11-20;7;['archived', 'bioconductor', 'bioinformatics', 'cromwell', 'genomics', 'r', 'rstats', 'server', 'workflow'];R;2021
ctSkennerton/crass;34;2011-06-17;11;['bioinformatics', 'crispr'];C++;2021
Tsedao/MultiRM;32;2020-08-30;14;['attention-model', 'bioinformatics', 'pytorch'];Jupyter Notebook;2021
biosustain/croissance;31;2016-10-07;12;['bioinformatics', 'biology', 'curve-fitting', 'growth-curves'];Python;2021
SamStudio8/gretel;30;2016-06-10;3;['bioinformatics', 'haplotypes', 'metagenomes'];Python;2021
alyosama/virnet;30;2018-09-09;4;['bioinformatics', 'deep-learning', 'keras', 'lstm', 'metagenomics', 'python'];Jupyter Notebook;2021
fritzsedlazeck/SVCollector;29;2018-05-22;5;['bioinformatics', 'long-reads', 'ngs', 'ngstools', 'structural-variation', 'vcf'];C++;2021
SunXQlab/scMLnet;29;2020-09-22;8;['bioinformatics', 'cell-cell-communication', 'gene-regulation', 'single-cell-rna-seq'];R;2021
naturalis/wgs2ncbi;29;2013-08-06;5;['bioinformatics', 'dataset', 'genome-annotation', 'genomics'];Perl;2021
rvinas/adversarial-gene-expression;29;2018-06-28;3;['adversarial-machine-learning', 'adversarial-networks', 'bioinformatics', 'e-coli', 'gan', 'gene-expression', 'gene-regulatory-network', 'generative-adversarial-network', 'keras', 'machine-learning', 'tensorflow'];Jupyter Notebook;2021
ikmckenz/target-pred-py;28;2019-02-22;10;['bioinformatics', 'hacktoberfest', 'machine-learning', 'medical', 'medicine', 'neural-network', 'pharmacology', 'pharmacy', 'random-forest-classifier'];Python;2021
MRCIEU/epigraphdb;28;2019-06-19;6;['api', 'big-data', 'bioinformatics', 'data-mining', 'graph-database', 'natural-language-processing'];Jupyter Notebook;2021
gao-lab/CPC2_standalone;28;2018-03-15;12;['bioinformatics', 'cpc2', 'lncrna', 'long-non-coding', 'noncoding'];Python;2021
comidan/Computer-Science-Engineering;27;2020-06-17;1;['artificial-intelligence', 'automation', 'bioinformatics', 'compilers', 'computer-architecture', 'computer-science-engineering', 'cybersecurity', 'databases', 'electronics', 'engineering', 'logic-circuit', 'machine-learning', 'mathematics', 'networks', 'operating-system', 'physics', 'probability-statistics', 'robotics', 'telecomunications'];HTML;2021
fjossinet/RNA-Science-Toolbox;27;2014-02-09;9;['bioinformatics', 'python', 'rna', 'rna-structure'];Jupyter Notebook;2021
joachimwolff/scHiCExplorer;27;2019-04-17;2;['bioinformatics', 'hi-c', 'single-cell'];Python;2021
claczny/VizBin;27;2014-06-25;14;['binning', 'bioinformatics', 'java', 'machine-learning', 'metagenomics', 'visualisation'];Java;2021
lh3/fermi2;26;2013-10-19;2;['bioinformatics', 'denovo-assembly', 'genomics'];C;2021
isambard-uob/isambard;25;2018-04-18;6;['bioinformatics', 'computational-biology', 'parametric-modelling', 'python', 'structural-biology', 'university-of-bristol'];Python;2021
CGJennings/fjs-string-matching;23;2017-10-14;5;['algorithm', 'bioinformatics', 'bms', 'boyer-moore', 'boyer-moore-sunday', 'c', 'fjs', 'fjs-algorithm', 'franek-jennings-smyth', 'java', 'kmp', 'knuth-morris-pratt', 'pattern-matching', 'string-matching', 'string-search', 'text-search'];Java;2021
ritabratamaiti/Chem-Faiss;23;2020-05-27;3;['bioinformatics', 'cheminformatics', 'covid-19', 'deep-learning', 'facebook', 'faiss', 'machine-learning', 'neural-network', 'rdkit'];Jupyter Notebook;2021
elaspic/elaspic2;23;2020-11-09;7;['binding-affinity', 'bioinformatics', 'mutations', 'protein', 'protein-stability', 'protein-structure', 'variant-effect-prediction'];Jupyter Notebook;2021
jangevaare/PhyloTrees.jl;21;2016-03-02;8;['bioinformatics', 'julia', 'phylogenetic-trees', 'phylogenetics'];Julia;2021
sanger-pathogens/companion;21;2015-02-05;18;['annotation', 'bioinformatics', 'genome', 'genomics', 'lua', 'nextflow', 'parasites', 'pipeline'];Lua;2021
metageni/Scaffold_builder;20;2016-10-11;8;['assembly', 'bacterial-genomes', 'bioinformatics', 'scaffolding'];Python;2021
