,year,stars,forks,topic
5931,2017,0,0,e-coli
5932,2018,0,0,e-coli
5933,2019,0,0,e-coli
5934,2020,0,0,e-coli
5935,2021,29,3,e-coli
5936,2022,29,0,e-coli
5937,2023,29,0,e-coli
5938,2024,29,0,e-coli
5939,2025,29,0,e-coli
5940,2013,0,0,easy-to-use
5941,2016,0,0,easy-to-use
5942,2017,0,0,easy-to-use
5943,2018,0,0,easy-to-use
5944,2019,20,7,easy-to-use
5945,2020,20,0,easy-to-use
5946,2021,20,0,easy-to-use
5947,2022,20,0,easy-to-use
5948,2023,20,0,easy-to-use
5949,2024,20,0,easy-to-use
5950,2025,20,0,easy-to-use
5951,2013,0,0,eav
5952,2016,0,0,eav
5953,2017,0,0,eav
5954,2018,0,0,eav
5955,2019,0,0,eav
5956,2020,35,6,eav
5957,2021,35,0,eav
5958,2022,35,0,eav
5959,2023,35,0,eav
5960,2024,35,0,eav
5961,2025,35,0,eav
5962,2013,0,0,ebiology
5963,2016,0,0,ebiology
5964,2017,0,0,ebiology
5965,2018,0,0,ebiology
5966,2019,0,0,ebiology
5967,2020,0,0,ebiology
5968,2021,0,0,ebiology
5969,2022,0,0,ebiology
5970,2023,0,0,ebiology
5971,2024,70,3,ebiology
5972,2025,70,0,ebiology
5973,2013,0,0,ecg
5974,2016,0,0,ecg
5975,2017,0,0,ecg
5976,2018,0,0,ecg
5977,2019,0,0,ecg
5978,2020,0,0,ecg
5979,2021,0,0,ecg
5980,2022,0,0,ecg
5981,2023,0,0,ecg
5982,2024,273,86,ecg
5983,2025,273,0,ecg
5984,2013,0,0,ecg-classification
5985,2016,0,0,ecg-classification
5986,2017,0,0,ecg-classification
5987,2018,0,0,ecg-classification
5988,2019,0,0,ecg-classification
5989,2020,0,0,ecg-classification
5990,2021,0,0,ecg-classification
5991,2022,0,0,ecg-classification
5992,2023,0,0,ecg-classification
5993,2024,273,86,ecg-classification
5994,2025,273,0,ecg-classification
5995,2013,0,0,echo
5996,2016,0,0,echo
5997,2017,0,0,echo
5998,2018,0,0,echo
5999,2019,0,0,echo
6000,2020,15,0,echo
6001,2021,15,0,echo
6002,2022,15,0,echo
6003,2023,15,0,echo
6004,2024,15,0,echo
6005,2025,15,0,echo
6006,2013,0,0,echoverse
6007,2016,0,0,echoverse
6008,2017,0,0,echoverse
6009,2018,0,0,echoverse
6010,2019,0,0,echoverse
6011,2020,0,0,echoverse
6012,2021,0,0,echoverse
6013,2022,0,0,echoverse
6014,2023,42,14,echoverse
6015,2024,42,0,echoverse
6016,2025,42,0,echoverse
6017,2013,0,0,ecology
6018,2016,0,0,ecology
6019,2017,0,0,ecology
6020,2018,0,0,ecology
6021,2019,14,6,ecology
6022,2020,28,1,ecology
6023,2021,28,0,ecology
6024,2022,28,0,ecology
6025,2023,28,0,ecology
6026,2024,28,0,ecology
6027,2025,28,0,ecology
6028,2013,0,0,edit-distance
6029,2016,0,0,edit-distance
6030,2017,0,0,edit-distance
6031,2018,0,0,edit-distance
6032,2019,0,0,edit-distance
6033,2020,0,0,edit-distance
6034,2021,58,20,edit-distance
6035,2022,58,0,edit-distance
6036,2023,58,0,edit-distance
6037,2024,58,0,edit-distance
6038,2025,633,174,edit-distance
6039,2013,0,0,education
6040,2016,0,0,education
6041,2017,0,0,education
6042,2018,0,0,education
6043,2019,32,6,education
6044,2020,32,0,education
6045,2021,32,0,education
6046,2022,32,0,education
6047,2023,32,0,education
6048,2024,32,0,education
6049,2025,32,0,education
6050,2013,0,0,electrode-voltage-measurements
6051,2016,0,0,electrode-voltage-measurements
6052,2017,0,0,electrode-voltage-measurements
6053,2018,0,0,electrode-voltage-measurements
6054,2019,0,0,electrode-voltage-measurements
6055,2020,0,0,electrode-voltage-measurements
6056,2021,0,0,electrode-voltage-measurements
6057,2022,0,0,electrode-voltage-measurements
6058,2023,0,0,electrode-voltage-measurements
6059,2024,273,86,electrode-voltage-measurements
6060,2025,273,0,electrode-voltage-measurements
6061,2013,0,0,electronics
6062,2016,0,0,electronics
6063,2017,0,0,electronics
6064,2018,0,0,electronics
6065,2019,0,0,electronics
6066,2020,24,0,electronics
6067,2021,95,10,electronics
6068,2022,95,0,electronics
6069,2023,95,0,electronics
6070,2024,95,0,electronics
6071,2025,95,0,electronics
6072,2013,0,0,electronics-projects
6073,2016,0,0,electronics-projects
6074,2017,0,0,electronics-projects
6075,2018,0,0,electronics-projects
6076,2019,0,0,electronics-projects
6077,2020,0,0,electronics-projects
6078,2021,44,9,electronics-projects
6079,2022,44,0,electronics-projects
6080,2023,44,0,electronics-projects
6081,2024,44,0,electronics-projects
6082,2025,44,0,electronics-projects
6083,2013,0,0,elm
6084,2016,0,0,elm
6085,2017,0,0,elm
6086,2018,0,0,elm
6087,2019,0,0,elm
6088,2020,0,0,elm
6089,2021,103,22,elm
6090,2022,103,0,elm
6091,2023,103,0,elm
6092,2024,103,0,elm
6093,2025,103,0,elm
6094,2013,0,0,em-seq
6095,2016,0,0,em-seq
6096,2017,0,0,em-seq
6097,2018,0,0,em-seq
6098,2019,0,0,em-seq
6099,2020,0,0,em-seq
6100,2021,0,0,em-seq
6101,2022,0,0,em-seq
6102,2023,49,25,em-seq
6103,2024,49,0,em-seq
6104,2025,49,0,em-seq
6105,2013,0,0,embedded-systems
6106,2016,0,0,embedded-systems
6107,2017,0,0,embedded-systems
6108,2018,24,6,embedded-systems
6109,2019,24,0,embedded-systems
6110,2020,24,0,embedded-systems
6111,2021,24,0,embedded-systems
6112,2022,24,0,embedded-systems
6113,2023,24,0,embedded-systems
6114,2024,24,0,embedded-systems
6115,2025,24,0,embedded-systems
6116,2013,0,0,embedding
6117,2016,0,0,embedding
6118,2017,0,0,embedding
6119,2018,0,0,embedding
6120,2019,0,0,embedding
6121,2020,0,0,embedding
6122,2021,17,3,embedding
6123,2022,17,0,embedding
6124,2023,17,0,embedding
6125,2024,17,0,embedding
6126,2025,17,0,embedding
6127,2013,0,0,embeddings
6128,2016,0,0,embeddings
6129,2017,0,0,embeddings
6130,2018,0,0,embeddings
6131,2019,0,0,embeddings
6132,2020,0,0,embeddings
6133,2021,0,0,embeddings
6134,2022,191,62,embeddings
6135,2023,346,32,embeddings
6136,2024,346,0,embeddings
6137,2025,346,0,embeddings
6138,2013,0,0,eml4
6139,2016,0,0,eml4
6140,2017,0,0,eml4
6141,2018,0,0,eml4
6142,2019,0,0,eml4
6143,2020,0,0,eml4
6144,2021,0,0,eml4
6145,2022,131,60,eml4
6146,2023,131,0,eml4
6147,2024,131,0,eml4
6148,2025,131,0,eml4
6149,2013,0,0,encoding-peptides
6150,2016,0,0,encoding-peptides
6151,2017,0,0,encoding-peptides
6152,2018,19,10,encoding-peptides
6153,2019,19,0,encoding-peptides
6154,2020,19,0,encoding-peptides
6155,2021,19,0,encoding-peptides
6156,2022,19,0,encoding-peptides
6157,2023,19,0,encoding-peptides
6158,2024,19,0,encoding-peptides
6159,2025,19,0,encoding-peptides
6160,2013,0,0,engineering
6161,2016,0,0,engineering
6162,2017,41,4,engineering
6163,2018,41,0,engineering
6164,2019,41,0,engineering
6165,2020,41,0,engineering
6166,2021,68,1,engineering
6167,2022,68,0,engineering
6168,2023,68,0,engineering
6169,2024,68,0,engineering
6170,2025,68,0,engineering
6171,2013,0,0,enhancer-database
6172,2016,0,0,enhancer-database
6173,2017,0,0,enhancer-database
6174,2018,0,0,enhancer-database
6175,2019,0,0,enhancer-database
6176,2020,0,0,enhancer-database
6177,2021,0,0,enhancer-database
6178,2022,0,0,enhancer-database
6179,2023,0,0,enhancer-database
6180,2024,89,16,enhancer-database
6181,2025,89,0,enhancer-database
6182,2013,0,0,enrichment
6183,2016,0,0,enrichment
6184,2017,0,0,enrichment
6185,2018,43,16,enrichment
6186,2019,43,0,enrichment
6187,2020,43,0,enrichment
6188,2021,43,0,enrichment
6189,2022,43,0,enrichment
6190,2023,43,0,enrichment
6191,2024,43,0,enrichment
6192,2025,43,0,enrichment
6193,2013,0,0,enrichment-analysis
6194,2016,0,0,enrichment-analysis
6195,2017,0,0,enrichment-analysis
6196,2018,0,0,enrichment-analysis
6197,2019,0,0,enrichment-analysis
6198,2020,0,0,enrichment-analysis
6199,2021,0,0,enrichment-analysis
6200,2022,32,6,enrichment-analysis
6201,2023,32,0,enrichment-analysis
6202,2024,32,0,enrichment-analysis
6203,2025,32,0,enrichment-analysis
6204,2013,0,0,ensembl
6205,2016,0,0,ensembl
6206,2017,0,0,ensembl
6207,2018,0,0,ensembl
6208,2019,0,0,ensembl
6209,2020,21,17,ensembl
6210,2021,21,0,ensembl
6211,2022,21,0,ensembl
6212,2023,21,0,ensembl
6213,2024,21,0,ensembl
6214,2025,21,0,ensembl
6215,2013,0,0,entrez
6216,2016,0,0,entrez
6217,2017,0,0,entrez
6218,2018,0,0,entrez
6219,2019,0,0,entrez
6220,2020,0,0,entrez
6221,2021,0,0,entrez
6222,2022,19,3,entrez
6223,2023,19,0,entrez
6224,2024,19,0,entrez
6225,2025,19,0,entrez
6226,2013,0,0,enzymes
6227,2016,0,0,enzymes
6228,2017,0,0,enzymes
6229,2018,0,0,enzymes
6230,2019,0,0,enzymes
6231,2020,62,15,enzymes
6232,2021,62,0,enzymes
6233,2022,62,0,enzymes
6234,2023,62,0,enzymes
6235,2024,62,0,enzymes
6236,2025,62,0,enzymes
6237,2013,0,0,epidemiology
6238,2016,0,0,epidemiology
6239,2017,0,0,epidemiology
6240,2018,90,16,epidemiology
6241,2019,90,0,epidemiology
6242,2020,90,0,epidemiology
6243,2021,90,0,epidemiology
6244,2022,90,0,epidemiology
6245,2023,90,0,epidemiology
6246,2024,90,0,epidemiology
6247,2025,90,0,epidemiology
6248,2013,0,0,epigenetic-data
6249,2016,0,0,epigenetic-data
6250,2017,0,0,epigenetic-data
6251,2018,0,0,epigenetic-data
6252,2019,0,0,epigenetic-data
6253,2020,0,0,epigenetic-data
6254,2021,63,14,epigenetic-data
6255,2022,63,0,epigenetic-data
6256,2023,134,12,epigenetic-data
6257,2024,134,0,epigenetic-data
6258,2025,134,0,epigenetic-data
6259,2013,0,0,epigenetics
6260,2016,0,0,epigenetics
6261,2017,0,0,epigenetics
6262,2018,0,0,epigenetics
6263,2019,19,5,epigenetics
6264,2020,19,0,epigenetics
6265,2021,276,35,epigenetics
6266,2022,335,17,epigenetics
6267,2023,1046,184,epigenetics
6268,2024,1046,0,epigenetics
6269,2025,1046,0,epigenetics
6270,2013,0,0,epigenomics
6271,2016,0,0,epigenomics
6272,2017,0,0,epigenomics
6273,2018,0,0,epigenomics
6274,2019,0,0,epigenomics
6275,2020,14,13,epigenomics
6276,2021,14,0,epigenomics
6277,2022,33,2,epigenomics
6278,2023,69,2,epigenomics
6279,2024,69,0,epigenomics
6280,2025,69,0,epigenomics
6281,2013,0,0,epitope-prediction-methods
6282,2016,0,0,epitope-prediction-methods
6283,2017,0,0,epitope-prediction-methods
6284,2018,19,10,epitope-prediction-methods
6285,2019,19,0,epitope-prediction-methods
6286,2020,19,0,epitope-prediction-methods
6287,2021,19,0,epitope-prediction-methods
6288,2022,19,0,epitope-prediction-methods
6289,2023,19,0,epitope-prediction-methods
6290,2024,19,0,epitope-prediction-methods
6291,2025,19,0,epitope-prediction-methods
6292,2013,0,0,epiviz
6293,2016,0,0,epiviz
6294,2017,0,0,epiviz
6295,2018,0,0,epiviz
6296,2019,0,0,epiviz
6297,2020,0,0,epiviz
6298,2021,0,0,epiviz
6299,2022,0,0,epiviz
6300,2023,71,12,epiviz
6301,2024,71,0,epiviz
6302,2025,71,0,epiviz
6303,2013,0,0,erc20-tokens
6304,2016,0,0,erc20-tokens
6305,2017,0,0,erc20-tokens
6306,2018,10,2,erc20-tokens
6307,2019,10,0,erc20-tokens
6308,2020,10,0,erc20-tokens
6309,2021,10,0,erc20-tokens
6310,2022,10,0,erc20-tokens
6311,2023,10,0,erc20-tokens
6312,2024,10,0,erc20-tokens
6313,2025,10,0,erc20-tokens
6314,2013,0,0,error
6315,2016,0,0,error
6316,2017,0,0,error
6317,2018,0,0,error
6318,2019,0,0,error
6319,2020,212,53,error
6320,2021,212,0,error
6321,2022,212,0,error
6322,2023,212,0,error
6323,2024,212,0,error
6324,2025,212,0,error
6325,2013,0,0,error-correction
6326,2016,0,0,error-correction
6327,2017,0,0,error-correction
6328,2018,0,0,error-correction
6329,2019,0,0,error-correction
6330,2020,0,0,error-correction
6331,2021,16,1,error-correction
6332,2022,16,0,error-correction
6333,2023,16,0,error-correction
6334,2024,16,0,error-correction
6335,2025,16,0,error-correction
6336,2013,0,0,es5
6337,2016,0,0,es5
6338,2017,0,0,es5
6339,2018,33,4,es5
6340,2019,33,0,es5
6341,2020,33,0,es5
6342,2021,33,0,es5
6343,2022,33,0,es5
6344,2023,33,0,es5
6345,2024,33,0,es5
6346,2025,33,0,es5
6347,2013,0,0,estudo
6348,2016,0,0,estudo
6349,2017,0,0,estudo
6350,2018,0,0,estudo
6351,2019,0,0,estudo
6352,2020,0,0,estudo
6353,2021,42,13,estudo
6354,2022,42,0,estudo
6355,2023,42,0,estudo
6356,2024,42,0,estudo
6357,2025,42,0,estudo
6358,2013,0,0,ethereum
6359,2016,0,0,ethereum
6360,2017,0,0,ethereum
6361,2018,10,2,ethereum
6362,2019,10,0,ethereum
6363,2020,10,0,ethereum
6364,2021,10,0,ethereum
6365,2022,10,0,ethereum
6366,2023,10,0,ethereum
6367,2024,10,0,ethereum
6368,2025,10,0,ethereum
6369,2013,0,0,etl
6370,2016,0,0,etl
6371,2017,0,0,etl
6372,2018,0,0,etl
6373,2019,0,0,etl
6374,2020,0,0,etl
6375,2021,0,0,etl
6376,2022,0,0,etl
6377,2023,0,0,etl
6378,2024,0,0,etl
6379,2025,572,54,etl
6380,2013,0,0,etl-framework
6381,2016,0,0,etl-framework
6382,2017,0,0,etl-framework
6383,2018,30,5,etl-framework
6384,2019,30,0,etl-framework
6385,2020,30,0,etl-framework
6386,2021,30,0,etl-framework
6387,2022,30,0,etl-framework
6388,2023,30,0,etl-framework
6389,2024,30,0,etl-framework
6390,2025,30,0,etl-framework
6391,2013,0,0,eukaryotes
6392,2016,0,0,eukaryotes
6393,2017,0,0,eukaryotes
6394,2018,0,0,eukaryotes
6395,2019,0,0,eukaryotes
6396,2020,82,19,eukaryotes
6397,2021,82,0,eukaryotes
6398,2022,82,0,eukaryotes
6399,2023,82,0,eukaryotes
6400,2024,155,12,eukaryotes
6401,2025,155,0,eukaryotes
6402,2013,0,0,evidence2innovation
6403,2016,0,0,evidence2innovation
6404,2017,0,0,evidence2innovation
6405,2018,0,0,evidence2innovation
6406,2019,0,0,evidence2innovation
6407,2020,0,0,evidence2innovation
6408,2021,0,0,evidence2innovation
6409,2022,26,5,evidence2innovation
6410,2023,26,0,evidence2innovation
6411,2024,26,0,evidence2innovation
6412,2025,26,0,evidence2innovation
6413,2013,0,0,evolution
6414,2016,0,0,evolution
6415,2017,0,0,evolution
6416,2018,12,3,evolution
6417,2019,12,0,evolution
6418,2020,33,17,evolution
6419,2021,33,0,evolution
6420,2022,33,0,evolution
6421,2023,154,45,evolution
6422,2024,243,14,evolution
6423,2025,243,0,evolution
6424,2013,0,0,evolutionary-algorithms
6425,2016,0,0,evolutionary-algorithms
6426,2017,0,0,evolutionary-algorithms
6427,2018,0,0,evolutionary-algorithms
6428,2019,0,0,evolutionary-algorithms
6429,2020,0,0,evolutionary-algorithms
6430,2021,0,0,evolutionary-algorithms
6431,2022,0,0,evolutionary-algorithms
6432,2023,48,9,evolutionary-algorithms
6433,2024,48,0,evolutionary-algorithms
6434,2025,48,0,evolutionary-algorithms
6435,2013,0,0,evolutionary-computation
6436,2016,0,0,evolutionary-computation
6437,2017,0,0,evolutionary-computation
6438,2018,0,0,evolutionary-computation
6439,2019,0,0,evolutionary-computation
6440,2020,0,0,evolutionary-computation
6441,2021,0,0,evolutionary-computation
6442,2022,0,0,evolutionary-computation
6443,2023,48,9,evolutionary-computation
6444,2024,48,0,evolutionary-computation
6445,2025,48,0,evolutionary-computation
6446,2013,0,0,exac
6447,2016,0,0,exac
6448,2017,0,0,exac
6449,2018,0,0,exac
6450,2019,0,0,exac
6451,2020,0,0,exac
6452,2021,0,0,exac
6453,2022,99,37,exac
6454,2023,99,0,exac
6455,2024,99,0,exac
6456,2025,99,0,exac
6457,2013,0,0,example-data
6458,2016,0,0,example-data
6459,2017,0,0,example-data
6460,2018,0,0,example-data
6461,2019,0,0,example-data
6462,2020,0,0,example-data
6463,2021,0,0,example-data
6464,2022,114,18,example-data
6465,2023,114,0,example-data
6466,2024,114,0,example-data
6467,2025,114,0,example-data
6468,2013,0,0,execute
6469,2016,0,0,execute
6470,2017,0,0,execute
6471,2018,0,0,execute
6472,2019,0,0,execute
6473,2020,0,0,execute
6474,2021,0,0,execute
6475,2022,0,0,execute
6476,2023,0,0,execute
6477,2024,0,0,execute
6478,2025,1066,69,execute
6479,2013,0,0,executor
6480,2016,0,0,executor
6481,2017,0,0,executor
6482,2018,0,0,executor
6483,2019,0,0,executor
6484,2020,0,0,executor
6485,2021,0,0,executor
6486,2022,0,0,executor
6487,2023,0,0,executor
6488,2024,0,0,executor
6489,2025,1044,377,executor
6490,2013,0,0,exome-sequencing
6491,2016,0,0,exome-sequencing
6492,2017,10,0,exome-sequencing
6493,2018,10,0,exome-sequencing
6494,2019,10,0,exome-sequencing
6495,2020,10,0,exome-sequencing
6496,2021,10,0,exome-sequencing
6497,2022,10,0,exome-sequencing
6498,2023,10,0,exome-sequencing
6499,2024,10,0,exome-sequencing
6500,2025,10,0,exome-sequencing
6501,2013,0,0,exon
6502,2016,0,0,exon
6503,2017,21,6,exon
6504,2018,21,0,exon
6505,2019,21,0,exon
6506,2020,21,0,exon
6507,2021,21,0,exon
6508,2022,21,0,exon
6509,2023,21,0,exon
6510,2024,21,0,exon
6511,2025,21,0,exon
6512,2013,0,0,explainability
6513,2016,0,0,explainability
6514,2017,0,0,explainability
6515,2018,0,0,explainability
6516,2019,126,16,explainability
6517,2020,126,0,explainability
6518,2021,126,0,explainability
6519,2022,126,0,explainability
6520,2023,126,0,explainability
6521,2024,126,0,explainability
6522,2025,126,0,explainability
6523,2013,0,0,exploratory-data-analysis
6524,2016,0,0,exploratory-data-analysis
6525,2017,0,0,exploratory-data-analysis
6526,2018,0,0,exploratory-data-analysis
6527,2019,0,0,exploratory-data-analysis
6528,2020,0,0,exploratory-data-analysis
6529,2021,0,0,exploratory-data-analysis
6530,2022,34,14,exploratory-data-analysis
6531,2023,34,0,exploratory-data-analysis
6532,2024,34,0,exploratory-data-analysis
6533,2025,34,0,exploratory-data-analysis
6534,2013,0,0,extended-harmonic-oscillators
6535,2016,0,0,extended-harmonic-oscillators
6536,2017,0,0,extended-harmonic-oscillators
6537,2018,0,0,extended-harmonic-oscillators
6538,2019,0,0,extended-harmonic-oscillators
6539,2020,15,0,extended-harmonic-oscillators
6540,2021,15,0,extended-harmonic-oscillators
6541,2022,15,0,extended-harmonic-oscillators
6542,2023,15,0,extended-harmonic-oscillators
6543,2024,15,0,extended-harmonic-oscillators
6544,2025,15,0,extended-harmonic-oscillators
6545,2013,0,0,extract-features
6546,2016,0,0,extract-features
6547,2017,0,0,extract-features
6548,2018,0,0,extract-features
6549,2019,0,0,extract-features
6550,2020,0,0,extract-features
6551,2021,0,0,extract-features
6552,2022,20,2,extract-features
6553,2023,20,0,extract-features
6554,2024,20,0,extract-features
6555,2025,20,0,extract-features
6556,2013,0,0,extract-orfs
6557,2016,0,0,extract-orfs
6558,2017,0,0,extract-orfs
6559,2018,0,0,extract-orfs
6560,2019,0,0,extract-orfs
6561,2020,0,0,extract-orfs
6562,2021,0,0,extract-orfs
6563,2022,76,10,extract-orfs
6564,2023,76,0,extract-orfs
6565,2024,76,0,extract-orfs
6566,2025,76,0,extract-orfs
6567,2013,0,0,facebook
6568,2016,0,0,facebook
6569,2017,0,0,facebook
6570,2018,0,0,facebook
6571,2019,0,0,facebook
6572,2020,0,0,facebook
6573,2021,23,3,facebook
6574,2022,23,0,facebook
6575,2023,23,0,facebook
6576,2024,23,0,facebook
6577,2025,23,0,facebook
6578,2013,0,0,faiss
6579,2016,0,0,faiss
6580,2017,0,0,faiss
6581,2018,0,0,faiss
6582,2019,0,0,faiss
6583,2020,0,0,faiss
6584,2021,23,3,faiss
6585,2022,23,0,faiss
6586,2023,23,0,faiss
6587,2024,23,0,faiss
6588,2025,23,0,faiss
6589,2013,0,0,fasta
6590,2016,0,0,fasta
6591,2017,85,22,fasta
6592,2018,114,7,fasta
6593,2019,129,4,fasta
6594,2020,143,0,fasta
6595,2021,212,6,fasta
6596,2022,304,9,fasta
6597,2023,575,31,fasta
6598,2024,1583,97,fasta
6599,2025,4726,469,fasta
6600,2013,0,0,fasta-parser
6601,2016,0,0,fasta-parser
6602,2017,0,0,fasta-parser
6603,2018,0,0,fasta-parser
6604,2019,0,0,fasta-parser
6605,2020,14,0,fasta-parser
6606,2021,14,0,fasta-parser
6607,2022,14,0,fasta-parser
6608,2023,14,0,fasta-parser
6609,2024,14,0,fasta-parser
6610,2025,14,0,fasta-parser
6611,2013,0,0,fasta-sequences
6612,2016,0,0,fasta-sequences
6613,2017,0,0,fasta-sequences
6614,2018,0,0,fasta-sequences
6615,2019,0,0,fasta-sequences
6616,2020,0,0,fasta-sequences
6617,2021,69,6,fasta-sequences
6618,2022,69,0,fasta-sequences
6619,2023,69,0,fasta-sequences
6620,2024,69,0,fasta-sequences
6621,2025,69,0,fasta-sequences
6622,2013,0,0,fastq
6623,2016,0,0,fastq
6624,2017,11,1,fastq
6625,2018,11,0,fastq
6626,2019,26,4,fastq
6627,2020,489,97,fastq
6628,2021,598,15,fastq
6629,2022,755,37,fastq
6630,2023,755,0,fastq
6631,2024,1044,24,fastq
6632,2025,5966,758,fastq
6633,2013,0,0,fastq-analysis
6634,2016,0,0,fastq-analysis
6635,2017,0,0,fastq-analysis
6636,2018,0,0,fastq-analysis
6637,2019,0,0,fastq-analysis
6638,2020,0,0,fastq-analysis
6639,2021,0,0,fastq-analysis
6640,2022,0,0,fastq-analysis
6641,2023,0,0,fastq-analysis
6642,2024,0,0,fastq-analysis
6643,2025,557,117,fastq-analysis
6644,2013,0,0,fastq-dump
6645,2016,0,0,fastq-dump
6646,2017,0,0,fastq-dump
6647,2018,0,0,fastq-dump
6648,2019,0,0,fastq-dump
6649,2020,200,47,fastq-dump
6650,2021,200,0,fastq-dump
6651,2022,200,0,fastq-dump
6652,2023,200,0,fastq-dump
6653,2024,200,0,fastq-dump
6654,2025,200,0,fastq-dump
6655,2013,0,0,fastq-files
6656,2016,0,0,fastq-files
6657,2017,0,0,fastq-files
6658,2018,0,0,fastq-files
6659,2019,0,0,fastq-files
6660,2020,183,28,fastq-files
6661,2021,183,0,fastq-files
6662,2022,183,0,fastq-files
6663,2023,183,0,fastq-files
6664,2024,183,0,fastq-files
6665,2025,183,0,fastq-files
6666,2013,0,0,fastq-format
6667,2016,0,0,fastq-format
6668,2017,0,0,fastq-format
6669,2018,0,0,fastq-format
6670,2019,0,0,fastq-format
6671,2020,113,24,fastq-format
6672,2021,113,0,fastq-format
6673,2022,113,0,fastq-format
6674,2023,113,0,fastq-format
6675,2024,113,0,fastq-format
6676,2025,113,0,fastq-format
6677,2013,0,0,fastqc
6678,2016,16,11,fastqc
6679,2017,16,0,fastqc
6680,2018,16,0,fastqc
6681,2019,16,0,fastqc
6682,2020,16,0,fastqc
6683,2021,16,0,fastqc
6684,2022,16,0,fastqc
6685,2023,16,0,fastqc
6686,2024,121,15,fastqc
6687,2025,121,0,fastqc
6688,2013,0,0,fbp
6689,2016,0,0,fbp
6690,2017,0,0,fbp
6691,2018,0,0,fbp
6692,2019,0,0,fbp
6693,2020,0,0,fbp
6694,2021,0,0,fbp
6695,2022,0,0,fbp
6696,2023,0,0,fbp
6697,2024,1116,74,fbp
6698,2025,1116,0,fbp
6699,2013,0,0,feature-detection
6700,2016,0,0,feature-detection
6701,2017,0,0,feature-detection
6702,2018,0,0,feature-detection
6703,2019,0,0,feature-detection
6704,2020,14,6,feature-detection
6705,2021,14,0,feature-detection
6706,2022,14,0,feature-detection
6707,2023,14,0,feature-detection
6708,2024,14,0,feature-detection
6709,2025,14,0,feature-detection
6710,2013,0,0,feature-engineering
6711,2016,0,0,feature-engineering
6712,2017,0,0,feature-engineering
6713,2018,0,0,feature-engineering
6714,2019,0,0,feature-engineering
6715,2020,0,0,feature-engineering
6716,2021,19,1,feature-engineering
6717,2022,19,0,feature-engineering
6718,2023,19,0,feature-engineering
6719,2024,19,0,feature-engineering
6720,2025,19,0,feature-engineering
6721,2013,0,0,feature-extraction
6722,2016,0,0,feature-extraction
6723,2017,0,0,feature-extraction
6724,2018,0,0,feature-extraction
6725,2019,0,0,feature-extraction
6726,2020,14,6,feature-extraction
6727,2021,33,1,feature-extraction
6728,2022,79,13,feature-extraction
6729,2023,79,0,feature-extraction
6730,2024,79,0,feature-extraction
6731,2025,79,0,feature-extraction
6732,2013,0,0,feature-learning
6733,2016,0,0,feature-learning
6734,2017,0,0,feature-learning
6735,2018,0,0,feature-learning
6736,2019,0,0,feature-learning
6737,2020,84,32,feature-learning
6738,2021,84,0,feature-learning
6739,2022,84,0,feature-learning
6740,2023,84,0,feature-learning
6741,2024,84,0,feature-learning
6742,2025,84,0,feature-learning
6743,2013,0,0,feature-selection
6744,2016,0,0,feature-selection
6745,2017,0,0,feature-selection
6746,2018,0,0,feature-selection
6747,2019,23,16,feature-selection
6748,2020,39,4,feature-selection
6749,2021,39,0,feature-selection
6750,2022,39,0,feature-selection
6751,2023,39,0,feature-selection
6752,2024,39,0,feature-selection
6753,2025,39,0,feature-selection
6754,2013,0,0,featurecounts
6755,2016,0,0,featurecounts
6756,2017,0,0,featurecounts
6757,2018,0,0,featurecounts
6758,2019,0,0,featurecounts
6759,2020,200,47,featurecounts
6760,2021,200,0,featurecounts
6761,2022,200,0,featurecounts
6762,2023,200,0,featurecounts
6763,2024,200,0,featurecounts
6764,2025,200,0,featurecounts
6765,2013,0,0,federated-learning
6766,2016,0,0,federated-learning
6767,2017,0,0,federated-learning
6768,2018,0,0,federated-learning
6769,2019,0,0,federated-learning
6770,2020,17,5,federated-learning
6771,2021,17,0,federated-learning
6772,2022,17,0,federated-learning
6773,2023,17,0,federated-learning
6774,2024,17,0,federated-learning
6775,2025,17,0,federated-learning
6776,2013,0,0,feedforward-neural-network
6777,2016,0,0,feedforward-neural-network
6778,2017,0,0,feedforward-neural-network
6779,2018,0,0,feedforward-neural-network
6780,2019,23,16,feedforward-neural-network
6781,2020,23,0,feedforward-neural-network
6782,2021,23,0,feedforward-neural-network
6783,2022,23,0,feedforward-neural-network
6784,2023,23,0,feedforward-neural-network
6785,2024,23,0,feedforward-neural-network
6786,2025,23,0,feedforward-neural-network
6787,2013,0,0,ferpa
6788,2016,0,0,ferpa
6789,2017,0,0,ferpa
6790,2018,0,0,ferpa
6791,2019,0,0,ferpa
6792,2020,0,0,ferpa
6793,2021,103,22,ferpa
6794,2022,103,0,ferpa
6795,2023,103,0,ferpa
6796,2024,103,0,ferpa
6797,2025,103,0,ferpa
6798,2013,0,0,fetal
6799,2016,0,0,fetal
6800,2017,0,0,fetal
6801,2018,0,0,fetal
6802,2019,14,3,fetal
6803,2020,14,0,fetal
6804,2021,14,0,fetal
6805,2022,14,0,fetal
6806,2023,14,0,fetal
6807,2024,14,0,fetal
6808,2025,14,0,fetal
6809,2013,0,0,fftw
6810,2016,0,0,fftw
6811,2017,0,0,fftw
6812,2018,0,0,fftw
6813,2019,0,0,fftw
6814,2020,0,0,fftw
6815,2021,0,0,fftw
6816,2022,0,0,fftw
6817,2023,70,36,fftw
6818,2024,70,0,fftw
