,name,stars,topics,language,selected_year
381,OpenGene/MutScan,157,"['bioinformatics', 'cancer', 'detection', 'fastq', 'mutation', 'ngs', 'somatic', 'validation', 'variant', 'visualization']",C,2022
382,hall-lab/svtools,156,"['bioinformatics', 'structural-variation']",Python,2022
481,DeepChainBio/bio-transformers,155,"['artificial-intelligence', 'bioinformatics', 'embeddings', 'transformer']",Python,2023
55,dotnetbio/bio,155,"['bio', 'bioinformatics', 'dotnet', 'genomics']",C#,2018
596,BasedLabs/NoLabs,148,"['ai', 'bioinformatics', 'biolab', 'folding', 'protein-design', 'proteins', 'synthetic-biology', 'webserver']",JavaScript,2024
597,informationsea/transanno,146,['bioinformatics'],Rust,2024
598,mikessh/vdjtools,142,"['antibody', 'bioinformatics', 'immunology', 'rep-seq', 'repertoire', 'stat', 't-cell', 't-cell-receptor']",Groovy,2024
599,ncbi/dbsnp,142,"['bioinformatics', 'database', 'genomics', 'ncbi', 'variations']",Jupyter Notebook,2024
293,rezacsedu/Deep-Learning-for-Clustering-in-Bioinformatics,141,"['autoencoders', 'bioinformatics', 'clustering-analysis', 'convolutional-autoencoder', 'deep-learning', 'lstm-neural-networks', 'neural-networks', 'representation-learning', 'variational-autoencoder']",Jupyter Notebook,2021
482,lh3/ksw2,140,"['bioinformatics', 'sequence-alignment']",C,2023
194,alastair-droop/fqtools,138,"['bioinformatics', 'fastq', 'fastq-files', 'next-generation-sequencing']",C,2020
383,CRG-CNAG/CalliNGS-NF,137,"['bioinformatics', 'gatk', 'genomics', 'nextflow', 'ngs', 'rna-seq', 'variant-calling']",Nextflow,2022
601,Daniel-Liu-c0deb0t/block-aligner,137,"['algorithms', 'alignment', 'avx2', 'bioinformatics', 'neon', 'rust', 'simd', 'wasm', 'webassembly']",Jupyter Notebook,2024
600,pybel/pybel,137,"['bioinformatics', 'biological-expression-language', 'bioregistry', 'domain-specific-language', 'networks', 'networks-biology', 'pybel', 'systems-biology']",Python,2024
294,hall-lab/svtyper,136,"['bioinformatics', 'genomics', 'genotype', 'vcf']",Python,2021
602,yuzhimanhua/Multi-BioNER,135,"['bioinformatics', 'biomedical-nlp', 'biomedical-text-mining', 'named-entity-recognition']",Python,2024
384,OpenGene/GeneFuse,131,"['alk', 'bioinformatics', 'cancer', 'cosmic', 'eml4', 'fusion', 'gene', 'ret', 'ros1']",C,2022
603,kaist-ina/BWA-MEME,131,"['alignment-algorithm', 'bioinformatics', 'bwa-mem', 'bwa-mem2', 'bwa-meme', 'genomics', 'learned-index', 'machine-learning', 'ngs', 'short-read-mapping']",C++,2024
295,biologyguy/BuddySuite,130,"['alignment', 'bioinformatics', 'biology', 'command-line', 'dna', 'phylogenetics', 'protein', 'python', 'workflow']",Python,2021
604,timoast/sinto,130,"['bioinformatics', 'single-cell']",Python,2024
195,Daniel-Liu-c0deb0t/cute-nucleotides,129,"['algorithms', 'avx2', 'bioinformatics', 'rust', 'simd', 'sse']",Rust,2020
483,MaxValue/Terpene-Profile-Parser-for-Cannabis-Strains,128,"['analysis', 'aromatherapy', 'bioinformatics', 'biological-data', 'biological-data-analysis', 'cannabis', 'cannabis-strains', 'crawler', 'data-science', 'database', 'health', 'plants', 'python', 'python-3', 'scrapy', 'terpene-profile', 'terpenes', 'web-crawler', 'web-crawler-python', 'web-crawling']",Python,2023
605,Psy-Fer/SquiggleKit,128,"['bioinformatics', 'nanopore']",Python,2024
116,baldassarreFe/graph-network-explainability,126,"['artificial-intelligence', 'bioinformatics', 'explainability', 'graph-networks']",Jupyter Notebook,2019
484,OpenGene/gencore,126,"['bioinformatics', 'consensus', 'deduplication', 'deep-sequencing', 'duplex', 'duplex-sequencing', 'duplication', 'ngs', 'sequencing', 'sequencing-error', 'sequencing-noise', 'somatic']",C++,2023
485,sanger-pathogens/assembly-stats,124,"['bioinformatics', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing']",C++,2023
606,QizhiPei/BioT5,123,"['bioinformatics', 'computational-biology', 'cross-modal', 'machine-learning', 'nlp', 'nlp-applications']",Python,2024
607,biojava/biojava-tutorial,123,"['3d-structure', 'bioinformatics', 'biojava', 'genomics', 'java', 'protein-disorder', 'protein-structure', 'tutorial']",Python,2024
608,grimmlab/MicrobiomeBestPracticeReview,122,"['16s-rrna', 'amplicon-sequencing', 'assembly', 'best-practices', 'bioinformatics', 'biomedical', 'metagenomics', 'microbiome', 'microbiome-analysis', 'microbiome-workflow', 'pipeline']",Shell,2024
117,cslarsen/arv,121,"['23andme', 'bioinformatics', 'dna', 'genome', 'python', 'snpedia', 'snps']",C++,2019
609,Electrostatics/apbs,120,"['bioinformatics', 'biophysics', 'chemistry', 'hacktoberfest', 'help-wanted']",C,2024
2,bio4j/bio4j,120,"['bio4j', 'bio4j-titan', 'bioinformatics', 'database', 'gene-ontology', 'graph', 'graph-data', 'graph-database', 'graph-databases', 'graph-queries', 'graph-schema', 'java', 'java-8', 'ncbi-taxonomy', 'property-graph', 'protein', 'proteins', 'titan', 'uniprot', 'uniref']",Java,2016
486,OpenGene/fastv,118,"['2019-ncov', 'bioinformatics', 'coronavirus', 'covid', 'covid-19', 'hcov', 'meta-genomics', 'microbial-sequences', 'mngs', 'ngs', 'sars-cov-2', 'sequencing', 'viral', 'viral-infectious-diseases', 'virus', 'visualization']",C++,2023
196,bionitio-team/bionitio,117,"['best-practises', 'bioinformatics']",Shell,2020
296,hahnlab/CAFE,117,"['bioinformatics', 'gene-families', 'phylogenetics']",C++,2021
610,shangshanzhizhe/Work_flow_of_population_genetics,117,"['bioinformatics', 'workflow']",Perl,2024
611,cbalbin-bio/pymol-color-alphafold,117,"['alphafold', 'alphafold2', 'bioinformatics', 'computational-biology', 'protein-structure', 'pymol', 'pymol-plugin', 'structural-biology']",Python,2024
487,bioinfomaticsCSU/deepsignal,117,"['bioinformatics', 'epigenetics', 'methylation', 'nanopore-sequencing', 'tensorflow']",Python,2023
612,owlcollab/owltools,116,"['api', 'bioinformatics', 'build-tool', 'ontology', 'owl-api', 'web-ontology-language']",Java,2024
488,ctSkennerton/minced,116,"['bioinformatics', 'crispr']",Java,2023
385,YaqiangCao/cLoops,114,"['3d-genome', 'algorithm', 'bioinformatics', 'chia-pet', 'chromatin-interaction', 'chromatin-loops', 'chromatin-stripes', 'clustering', 'dbscan', 'example-data', 'hi-c', 'hichip', 'loops-calling', 'ngs', 'pipeline', 'python', 'sequencing', 'stripes', 'tool', 'trac-looping']",Python,2022
613,cansyl/DEEPScreen,114,"['2d-images-of-compounds', 'bioinformatics', 'cheminformatics', 'command-line-tool', 'convolutional-neural-networks', 'deep-learning', 'drug-discovery', 'drug-repurposing', 'drug-target-interactions', 'hyper-parameter-optimization', 'machine-learning', 'performance-evaluation', 'prediction-model']",Python,2024
614,ayixon/RaPDTool,114,"['bioinformatics', 'metagenome-assembled-genomes', 'metagenomics', 'microbial-taxonomy']",Python,2024
297,lh3/hickit,113,"['bioinformatics', 'genomics', 'hi-c']",C,2021
197,labsquare/FastQt,113,"['bioinformatics', 'fastq', 'fastq-format', 'gui', 'qt5']",C++,2020
489,evoldoers/biomake,110,"['bioinformatics', 'gnu-make', 'makefiles', 'prolog', 'swi-prolog', 'workflows']",Prolog,2023
198,gwjensen/SnakeStrike,110,"['animal-movement', 'animal-science', 'animal-tracking', 'bioinformatics', 'computer-vision', 'high-performance', 'high-speed-imaging', 'low-cost', 'motion-tracking', 'multi-camera', 'multi-camera-tracker', 'multi-camera-tracking', 'snakes', 'tracking', 'tracking-algorithm', 'triangulation']",C++,2020
199,lh3/fermikit,110,"['bioinformatics', 'denovo-assembly', 'genomics', 'variant-calling']",TeX,2020
298,mdshw5/fastqp,109,"['bioinformatics', 'fastq', 'kmer-distribution', 'nucleotide-plot', 'python', 'sam']",Python,2021
200,GreenleafLab/NucleoATAC,109,"['atac-seq', 'bioinformatics', 'nuclesosome']",Python,2020
490,yanwu2014/swne,106,"['bioinformatics', 'data-visualization', 'dimensionality-reduction', 'nonnegative-matrix-factorization', 'single-cell-analysis', 'single-cell-atac-seq', 'single-cell-genomics', 'single-cell-rna-seq', 'statistical-methods']",R,2023
386,lemuria-wchen/imcs21-cblue,106,"['annotated-corpora', 'bioinformatics', 'healthcare-application', 'medical-dialogue', 'natural-language-understanding']",Python,2022
615,Russel88/CRISPRCasTyper,106,"['bioinformatics', 'cas', 'crispr', 'crispr-analysis', 'crispr-cas', 'crispr-cas9']",Python,2024
617,bcgsc/ntHash,105,"['bioinformatics', 'bloom-filter', 'genomics', 'hash', 'hash-algorithm', 'hash-methods', 'k-mer-hashing']",C++,2024
616,robertaboukhalil/fastq.bio,105,"['bioinformatics', 'fastqc', 'genomics', 'sequencing', 'wasm', 'webassembly']",Svelte,2024
387,HKU-BAL/Clair,105,"['bioinformatics', 'computational-biology', 'deep-learning', 'variant-calling']",Python,2022
618,qubekit/QUBEKit,103,"['bioinformatics', 'computational-chemistry', 'quantum-chemistry']",Python,2024
299,zonghui0228/rosalind-solutions,103,"['algorithms', 'bioinformatics', 'biology', 'rosalind']",Python,2021
388,MicrobeLab/DeepMicrobes,103,"['bioinformatics', 'deep-learning', 'metagenomics', 'microbiome', 'next-generation-sequencing']",Python,2022
300,kindlyops/havengrc,103,"['asset-management', 'bioinformatics', 'compliance', 'devops', 'devsecops', 'elm', 'ferpa', 'finra', 'fisma', 'gdpr', 'group-cognition', 'hipaa', 'risk-assessment', 'risk-management', 'vendor-management']",JavaScript,2021
619,NAL-i5K/GFF3toolkit,102,"['bioinformatics', 'gff', 'gff3', 'gff3-format']",Python,2024
118,shenwei356/bio_scripts,102,"['bioinformatics', 'perl', 'python', 'reusable', 'script']",Perl,2019
201,BaderLab/saber,102,"['bioinformatics', 'biomedical-named-entity-recognition', 'biomedical-text-mining', 'deep-learning', 'information-extraction', 'machine-learning', 'spacy']",Python,2020
389,hardingnj/xpclr,101,"['bioinformatics', 'genetics', 'popgen', 'selection']",Python,2022
202,chris-rands/biopython-coronavirus,100,"['bioinformatics', 'biopython', 'coronavirus', 'covid-19', 'genomics', 'jupyter-notebook', 'python']",Jupyter Notebook,2020
301,JEFworks-Lab/HoneyBADGER,99,"['bayesian', 'bioinformatics', 'cnv-detection', 'heterogeneity', 'hmm', 'single-cell-analysis', 'single-cell-rna-seq', 'subpopulation', 'transcriptomics']",R,2021
620,Griffan/VerifyBamID,99,"['bam', 'bioinformatics', 'biostatistics', 'contamination', 'cram', 'dna-sequences', 'genetics', 'next-generation-sequencing', 'qc-analysis']",mupad,2024
390,ding-lab/CharGer,99,"['acmg', 'annotations', 'bioinformatics', 'characterization', 'clinical', 'clinvar', 'diseases', 'exac', 'germline-variants', 'gnomad', 'pathogenic-variants', 'pathogenicity', 'variants', 'vep']",Python,2022
56,ga4gh/ga4gh-server,99,"['alliance', 'bioinformatics', 'ga4gh', 'genome-annotation', 'genomics', 'global', 'health', 'python', 'reference-implementation', 'rna', 'server', 'variants']",Python,2018
491,ewels/clusterflow,98,"['bioinfomatics-pipeline', 'bioinformatics', 'clusterflow', 'perl', 'pipeline']",Perl,2023
621,ISYSLAB-HUST/ProtFlash,98,"['bioinformatics', 'pretrained-models', 'protein-embeddings', 'protein-language-model', 'protein-representation-learning', 'protein-sequence']",Python,2024
492,wurmlab/flo,98,"['bioinformatics', 'gene-prediction', 'gff', 'liftover']",Ruby,2023
119,rezacsedu/Drug-Drug-Interaction-Prediction,97,"['bioinformatics', 'convolutional-neural-network', 'deep-learning', 'drug-discovery', 'knowledge-graph', 'lstm-neural-networks', 'machine-learning']",Jupyter Notebook,2019
391,RafsanjaniHub/PyFeat,97,"['bioinformatics', 'computational-biology', 'genomics', 'proteomics']",Python,2022
57,xuwd11/Coursera-Bioinformatics,96,"['bioinformatics', 'coursera', 'python']",Python,2018
623,hanssmail/quantQ,95,"['algorithm', 'bioinformatics', 'deep-neural-networks', 'kdb', 'kdb-q', 'machine-learning', 'mathematical-functions', 'quantum-computing', 'topological-data-analysis']",q,2024
622,bcgsc/arcs,95,"['10xgenomics', 'assembler', 'bioinformatics', 'c-plus-plus', 'genome', 'graph', 'nanopore-sequencing', 'oxford-nanopore', 'pacbio-data', 'scaffold', 'science']",C++,2024
10,slowkow/snakefiles,94,"['bioinformatics', 'high-performance-computing', 'lsf-jobs', 'python', 'rna-seq', 'snakemake']",Python,2017
624,gao-lab/Cell_BLAST,94,"['bioinformatics', 'deep-learning', 'single-cell', 'single-cell-rna-seq']",Python,2024
625,dosorio/Peptides,94,"['bioinformatics', 'calculate-indices', 'cran', 'peptides', 'protein-sequences', 'qsar']",R,2024
120,lh3/bgt,94,"['bioinformatics', 'genomics']",C,2019
494,dib-lab/dammit,93,"['annotation', 'bioinformatics', 'transcriptomics']",Python,2023
493,JEFworks-Lab/STalign,93,"['alignment', 'bioinformatics', 'diffeomorphism', 'singlecell', 'spatialtranscriptomics']",HTML,2023
626,broadinstitute/catch,92,"['bioinformatics', 'covid-19', 'dna', 'genome', 'genomics', 'metagenomics', 'ngs', 'science', 'sequencing', 'viral']",Python,2024
302,cmap/cmapR,92,"['bioconductor', 'bioinformatics', 'cmap']",R,2021
58,jisungk/RIDDLE,90,"['bioinformatics', 'biology', 'computational-biology', 'deep-learning', 'epidemiology', 'imputation', 'machine-learning', 'neural-networks']",Python,2018
627,gao-lab/SLAT,90,"['bioinformatics', 'deep-learning', 'graph-neural-networks', 'single-cell', 'single-cell-analysis', 'spatial-data', 'spatial-transcriptomics']",Python,2024
495,clindet/bget,89,"['bioinformatics', 'database', 'spider']",Go,2023
629,jamiemcg/BUSCO_phylogenomics,89,"['bayesian', 'bioinformatics', 'evolution', 'genomics', 'maximum-likelihood', 'phylogenetics', 'phylogenomics']",Python,2024
628,vanheeringen-lab/ANANSE,89,"['bioinformatics', 'cell-fate-determination', 'enhancer-database', 'grn', 'key-transcription-factors']",Python,2024
204,jdrudolph/goenrich,88,"['annotation-enrichment', 'bioinformatics', 'gene-ontology']",Python,2020
392,PabloEnmanuelRamos/BioBlender21,88,"['bioblender', 'bioinformatics', 'bioinformatics-tool', 'biology', 'blender', 'blender-addon', 'python']",Python,2022
203,jminnier/STARTapp,88,"['bioinformatics', 'genome-biology', 'r', 'rna-seq', 'shiny', 'shiny-apps', 'transcriptome', 'visualization']",HTML,2020
630,yueyu1030/SumGNN,88,"['bioinformatics', 'biomedical-knowledge-graph', 'biosnap', 'drug-discovery', 'drug-drug-interaction', 'drugbank', 'gnn', 'graph-neural-networks', 'knowledge-graph', 'subgraph', 'twosides']",Python,2024
303,lh3/unimap,87,"['bioinformatics', 'genomics', 'sequence-alignment']",C,2021
59,slowkow/tftargets,86,"['bioinformatics', 'data', 'rstats', 'transcription-factors']",R,2018
496,arzwa/wgd,86,"['bioinformatics', 'duplication', 'evolution', 'genomics', 'polyploidy', 'wgd']",Python,2023
631,KevinMenden/scaden,86,"['bioinformatics', 'cell-composition-analysis', 'deconvolution', 'deep-learning', 'machine-learning', 'rna-seq', 'single-cell-rna-seq']",Python,2024
393,pierrebarbera/epa-ng,86,"['bioinformatics', 'mpi', 'mpi-io', 'openmp', 'phylogenetics', 'placement', 'taxonomic-classification']",C++,2022
304,urmi-21/pyrpipe,84,"['bioconda', 'bioinformatics', 'bioinformatics-analysis', 'bioinformatics-pipeline', 'conda', 'ncbi-sra', 'python', 'rna-seq', 'rna-seq-pipeline', 'rna-seq-workflows']",Python,2021
205,mims-harvard/ohmnet,84,"['bioinformatics', 'deep-learning', 'feature-learning', 'genomics', 'multi-layer', 'neural-embeddings']",Python,2020
394,harryjubb/arpeggio,83,"['atomic-interactions', 'bioinformatics', 'cheminformatics', 'structural-bioinformatics']",Python,2022
632,seqan/lambda,82,"['alignment', 'bioinformatics', 'blast', 'blast-searches', 'high-performance', 'metagenomics', 'ncbi-taxonomy', 'protein-sequences', 'seqan']",C++,2024
395,instadeepai/manyfold,82,"['bioinformatics', 'deep-learning', 'jax', 'protein-folding', 'protein-structure', 'python', 'research']",Python,2022
11,slowkow/pytabix,82,"['bam-files', 'bioinformatics']",C,2017
633,natir/yacrd,81,"['bioinformatics', 'chimera', 'long-reads', 'sequence']",Rust,2024
634,open2c/coolpuppy,80,"['bioinformatics', 'contact-matrix', 'genomics', 'hi-c', 'pileup', 'python', 'sparse-matrix']",Python,2024
60,dalmia/Coursera-Specializations,80,"['algorithms', 'bioinformatics', 'coursera', 'data-structures', 'deep-learning', 'image-processing', 'machine-learning', 'python']",Jupyter Notebook,2018
635,rabix/cwl-svg,79,"['bioinformatics', 'cwl', 'svg', 'visualization', 'workflow']",TypeScript,2024
207,vpc-ccg/haslr,78,"['bioinformatics', 'genome-assembly', 'genomics', 'hybrid-assembly', 'long-reads', 'nanopore', 'pacbio']",C++,2020
206,grailbio/bio,78,"['bioinformatics', 'data-science', 'golang']",Go,2020
305,FangpingWan/NeoDTI,77,"['bioinformatics', 'computational-biology', 'deep-learning', 'graph-convolution', 'machine-learning']",Python,2021
121,lh3/dna-nn,77,"['bioinformatics', 'deep-learning', 'genomics']",C,2019
636,mckennalab/FlashFry,77,"['bioinformatics', 'crispr', 'crispr-cas9', 'genome-editing']",Scala,2024
396,urmi-21/orfipy,76,"['bioinformatics', 'codon-tables', 'dna', 'extract-orfs', 'orf-detection', 'orf-finder', 'orf-search', 'protein', 'python']",Python,2022
499,oschwengers/asap,75,"['amr', 'annotation', 'assembly', 'bacteria', 'bioinformatics', 'ngs']",Groovy,2023
306,sanger-pathogens/pathogen-informatics-training,75,"['bioinformatics', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing']",Jupyter Notebook,2021
637,aoles/EBImage,75,"['bioinformatics', 'image-analysis', 'image-processing', 'r']",R,2024
497,bcgsc/mavis,75,"['bioinformatics', 'genomics', 'python', 'structural-variation', 'transcriptome', 'visualization']",Python,2023
498,twoXes/awesome-structural-bioinformatics,75,"['alphafold', 'awesome-list', 'bioinformatics', 'bioinformatics-analysis', 'bioinformatics-pipeline', 'biology', 'cheminformatics', 'chemistry', 'deep-learning', 'docking', 'genetics', 'genome-alignment', 'genomics', 'machine-learning', 'molecular-informatics', 'protein', 'protein-structure', 'protein-structure-prediction', 'proteomics', 'quantum-chemistry']",Python,2023
0,lh3/fermi,75,"['bioinformatics', 'denovo-assembly', 'genomics']",C,2013
12,wurmlab/oswitch,75,"['bioinformatics', 'data-science', 'docker', 'virtualization']",Ruby,2017
638,4dn-dcic/hic2cool,74,"['bioinformatics', 'contact-matrices', 'converter', 'cooler', 'hi-c', 'juicer']",Python,2024
3,lh3/bfc,74,"['bioinformatics', 'genomics']",TeX,2016
639,panoptes-organization/panoptes,74,"['bioinformatics', 'reproducible-research', 'snakemake', 'workflows']",CSS,2024
397,bio-ontology-research-group/ontology-tutorial,73,"['bioinformatics', 'ismb', 'machine-learning', 'ontology', 'ontology-tutorial', 'semantic-similarity-measures', 'tutorial']",Jupyter Notebook,2022
640,ay-lab/dcHiC,73,"['bioinformatics', 'chromatin', 'genome', 'hi-c']",R,2024
641,ibe-uw/tiara,73,"['bioinformatics', 'classification', 'eukaryotes', 'machine-learning', 'metagenomics', 'organelle']",Python,2024
500,gcorso/NeuroSEED,73,"['bioinformatics', 'biological-sequences', 'hierarchical-clustering', 'machine-learning', 'multiple-sequence-alignment', 'neurips-2021', 'pytorch']",Python,2023
398,lh3/fermi-lite,72,"['bioinformatics', 'denovo-assembly', 'genomics']",C,2022
643,FunGeST/Palimpsest,72,"['bioinformatics', 'bioinformatics-analysis', 'cancer-genomics', 'cancer-research', 'clonality', 'driver-events', 'genomics', 'mutational-signatures', 'nmf', 'nmf-extraction', 'r', 'signature-extraction', 'somatic-mutations', 'structural-variant-signatures', 'structural-variation', 'tumor-evolution', 'tumor-heterogeneity', 'visualization']",R,2024
642,lh3/ropebwt2,72,"['bioinformatics', 'fm-index']",TeX,2024
644,dnbaker/bonsai,71,"['bioinformatics', 'database', 'metagenomics']",C++,2024
208,BioJulia/GenomeGraphs.jl,71,"['bio', 'bioinformatics', 'bioinformatics-analysis', 'biology', 'genome-assembly', 'genome-graph', 'genome-sequencing', 'genomes', 'genomics', 'julia']",Julia,2020
501,epiviz/epiviz,71,"['bioinformatics', 'epigenetic-data', 'epiviz', 'javascript', 'visualization']",JavaScript,2023
122,alexcritschristoph/Qiime16sTutorial,71,['bioinformatics'],HTML,2019
646,ML4GLand/EUGENe,70,"['bioinformatics', 'deep-learning', 'genomics', 'machine-learning', 'python', 'regulatory-genomics']",Jupyter Notebook,2024
645,servierhub/top-pharma50,70,"['ai', 'awesome', 'awesome-list', 'awesome-lists', 'bioinformatics', 'biology-ai', 'computational-biology', 'computational-chemistry', 'ebiology', 'life-sciences', 'lifescience', 'lifesciences', 'pharma', 'pharmaceuticals', 'servier']",Makefile,2024
209,yakneens/butler,70,"['bioinformatics', 'cloud', 'docker', 'python', 'science', 'workflow']",Python,2020
502,akiyamalab/MEGADOCK,70,"['bioinformatics', 'cuda', 'fftw', 'gpu', 'protein-protein-interaction']",C++,2023
210,alexpreynolds/sample,69,"['bed', 'bioinformatics', 'c', 'genomics', 'reservoir-sampling', 'sampling']",C,2020
503,Genotek/ClassifyCNV,69,"['annotations', 'bioinformatics', 'clinical-genomics', 'cnv', 'copy-number-variation', 'deletion', 'duplication', 'pathogenicity']",Python,2023
308,frallain/pymsfilereader,69,"['bioinformatics', 'comtypes-library', 'mass-spectrometry', 'python', 'python-bindings']",Python,2021
307,josiahseaman/FluentDNA,69,"['alignment', 'bioinformatics', 'bioinformatics-tool', 'chain-alignment', 'ddv', 'dna', 'fasta', 'fasta-sequences', 'fluent', 'fluentdna', 'liftover', 'msa', 'protein', 'sequencing', 'visualization']",JavaScript,2021
647,SydneyBioX/scMerge,68,"['bioinformatics', 'r', 'rstats', 'single-cell']",R,2024
504,deweylab/CellO,68,"['bioinformatics', 'cell-biology', 'cell-type', 'cell-type-classification', 'computational-biology', 'machine-learning', 'ontologies', 'rna-seq', 'single-cell-rna-seq']",Jupyter Notebook,2023
399,OpenHero/gblastn,68,"['bioinformatics', 'blastn', 'cuda', 'dna', 'dna-alignment', 'dna-sequences', 'gpu', 'high-performance', 'high-performance-computing', 'ncbi-blast', 'nvidia']",C++,2022
505,ShujiaHuang/geneview,68,"['bioinformatics', 'bioinformatics-tool', 'data-visualization', 'genomics-data-visualization', 'matplotlib', 'plotting', 'python', 'visualization']",Python,2023
648,MariaNattestad/SplitThreader,67,"['bioinformatics', 'genomics', 'visualization']",JavaScript,2024
649,yikunpku/RNA-MSM,67,"['bioinformatics', 'language-model', 'rna', 'rna-structure-prediction']",Python,2024
123,bionode/bionode-ncbi,67,"['api-client', 'bioinformatics', 'bionode', 'nodejs', 'tool']",JavaScript,2019
400,monarch-initiative/biolink-api,66,"['api', 'bioinformatics', 'gene', 'model-organisms', 'ontologies', 'phenotypes', 'python', 'swagger']",Python,2022
401,OpenGene/OpenGene.jl,66,"['bioinformatics', 'julia', 'ngs']",Julia,2022
506,UCLOrengoGroup/cath-tools,66,"['alignment', 'bioinformatics', 'biology', 'cath', 'cath-resolve-hits', 'orengo', 'pdb', 'protein', 'ssap', 'structure', 'superposition', 'ucl']",C++,2023
309,xmc811/Scillus,65,"['bioinformatics', 'data-visualization', 'rlang', 'single-cell-omics']",R,2021
507,songweizhi/MetaCHIP,65,"['bioinformatics', 'hgt', 'horizontal-gene-transfer', 'lateral-gene-transfer', 'lgt', 'metagenomics']",Python,2023
650,raghavagps/Pfeature,65,"['amino-acid-composition', 'bioinformatics', 'function-annotation', 'machine-learning-algorithms', 'protein-annotation', 'pssm-profile']",Python,2024
651,murphycj/AGFusion,65,"['bioinformatics', 'cancer', 'cancer-genomics', 'chimera', 'fusion', 'gene-fusion', 'protein', 'python', 'rna-seq', 'structural-variation']",Python,2024
403,BioinfoMachineLearning/DeepInteract,64,"['bioinformatics', 'deep-learning', 'docker', 'geometric-deep-learning', 'graph-neural-networks', 'machine-learning', 'protein-protein-interactions', 'proteins', 'transformers']",Python,2022
402,mdshw5/simplesam,64,"['bam', 'bioinformatics', 'genomics', 'python', 'sam']",Python,2022
13,cslarsen/dna-traits,64,"['23andme', 'bioinformatics', 'dna', 'genomics', 'health-report', 'python', 'snpedia', 'snps']",Python,2017
508,bcgsc/tigmint,63,"['10xgenomics', 'bioinformatics', 'bioinformatics-tool', 'genome-assembly', 'genome-scaffolding', 'linked-reads', 'misassembly-correction']",Python,2023
310,QData/DeepChrome,63,"['bioinformatics', 'deep-neural-networks', 'epigenetic-data', 'understanding-computation']",Lua,2021
509,widdowquinn/find_differential_primers,62,"['bioinformatics', 'bioinformatics-scripts', 'diagnostic-primers', 'diagnostics', 'primer-design', 'qpcr']",Python,2023
510,irycisBioinfo/PATO,62,"['bioinformatics', 'genomics', 'r']",R,2023
211,EngqvistLab/Tome,62,"['archaea', 'bacteria', 'bioinformatics', 'enzymes', 'eukaryotes', 'machine-learning', 'microbiology', 'temperature-data']",Python,2020
511,FelixKrueger/SNPsplit,61,"['allele-specific', 'bioinformatics', 'ngs', 'sequencing']",Perl,2023
512,sagnikbanerjee15/Finder,61,"['bioinformatics', 'bioinformatics-pipeline', 'changepoint-detection', 'finder', 'gene-annotation-pipeline', 'gene-annotations', 'gene-models', 'genome-annotation', 'gtf', 'predict-genes', 'protein-sequences', 'rna-seq', 'transcripts']",Python,2023
212,statgen/locuszoom-standalone,61,"['bioinformatics', 'genetics', 'visualization']",Python,2020
61,OpenGene/CfdnaPattern,59,"['bioinformatics', 'cfdna', 'ngs', 'pattern']",Python,2018
311,ostrokach/proteinsolver,59,"['bioinformatics', 'graph-neural-networks', 'protein', 'protein-design', 'protein-sequence', 'protein-structure', 'structural-biology']",Jupyter Notebook,2021
213,Candlelight-XYJ/Bioinformatics-Project,59,"['bioinformatics', 'ngs-analysis']",Shell,2020
514,clemgoub/dnaPipeTE,59,"['annotation-pipeline', 'annotations', 'assembly', 'bioinformatics', 'genomics', 'pipeline', 'repeatmasker', 'transposable-elements', 'trinity']",Dockerfile,2023
513,dib-lab/charcoal,59,"['bioinformatics', 'k-mer', 'metagenomics', 'sourmash']",Python,2023
515,CDCgov/datasets-sars-cov-2,58,"['bioinformatics', 'public-health', 'sars-cov-2']",Perl,2023
516,gencorefacility/variant-calling-pipeline-gatk4,58,"['bioinformatics', 'bioinformatics-pipeline', 'gatk4', 'genomics', 'nextflow', 'variant-calling']",Nextflow,2023
312,sanger-pathogens/iva,58,"['bioinformatics', 'bioinformatics-pipeline', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing']",Python,2021
214,dantaki/SV2,58,"['bioinformatics', 'de-novo-mutation', 'genotype', 'genotyping-by-sequencing', 'machine-learning', 'structural-variation']",Python,2020
313,vinary-tree/liblevenshtein-java,58,"['approximate-string-matching', 'bioinformatics', 'computational-biology', 'computer-science', 'data-science', 'dictionary', 'distance-metric', 'edit-distance', 'finite-state-automata', 'finite-state-transducer', 'fuzzy-search', 'genomics', 'information-retrieval', 'levenshtein-automata', 'levenshtein-distance', 'machine-learning', 'natural-language-processing', 'search-engine', 'spelling-correction', 'universal-automata']",Java,2021
517,samuell/gccontent-benchmark,57,"['benchmarking', 'bioinformatics', 'programming-languages']",Rust,2023
405,xryanglab/RiboCode,57,"['bioinformatics', 'orfs', 'peptides', 'ribosome-profiling']",Python,2022
404,j-andrews7/Genotify,57,"['bioinformatics', 'desktop-application', 'gene', 'gene-annotation', 'genetics', 'lookup', 'protein-function']",JavaScript,2022
406,smdabdoub/kraken-biom,57,"['bioinformatics', 'biom-format', 'kraken', 'metagenomics', 'taxonomic-classification', 'taxonomy']",Python,2022
